# Expt	Phase	Comp	P[GPa]	T [C]	buffer 	Oxygens	Si	Si unc	Al	Al unc	Fe(tot) Fe unc	Mo	Mo unc	Mg	Mg unc	Ca	Ca unc	Na	Na unc	Re	Total	Fe3/Fetotal	Fe3/Fetotal unc
# H4560	gt	MORB	20	1800	Re	12	3.367	0.059	1.559	0.026	0.665	0.012	0.000	0.000	0.975	0.011	1.051	0.016	0.375	0.014	0.000	7.991	0.15	0.02
# H4560	cpx	MORB	20	1800	Re	6	2.007	0.035	0.701	0.021	0.115	0.009	0.000	0.000	0.247	0.005	0.238	0.011	0.669	0.034	0.000	3.977	0	0
# H4560	stv	MORB	20	1800	Re	2	0.982	0.020	0.024	0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.006	0	0
# H4560	Re	MORB	20	1800	Re	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	1.000	0	0
# H4560	ReO2	MORB	20	1800	Re	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	1.000	0	0

# no reactions
# Z1785	gt	MORB	20	1800	Mo	12	3.685	0.144	1.396	0.060	0.594	0.024	0.000	0.000	0.851	0.043	0.906	0.039	0.324	0.024	0.000	7.755	0.08	0.04
# Z1785	Mo	MORB	20	1800	Mo	1	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0	0
# Z1785	MoO2	MORB	20	1800	Mo	2	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0	0

# no reactions
# Z1786	gt	MORB	20	1800	Fe	12	3.617	0.080	1.401	0.034	0.618	0.030	0.000	0.000	0.875	0.032	0.963	0.047	0.351	0.042	0.000	7.825	0.11	0.06
# Z1786	fcc_iron	MORB	20	1800	Fe	1	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0	0

Z1700	gt	MORB	17	1800	Fe	12	3.481	0.151	1.403	0.071	1.078	0.063	0.000	0.000	0.820	0.022	0.880	0.032	0.278	0.015	0.000	7.940	0.03	0.01
Z1700	cpx	MORB	17	1800	Fe	6	1.942	0.014	0.624	0.034	0.162	0.015	0.000	0.000	0.384	0.011	0.395	0.004	0.479	0.021	0.000	3.985	0	0
Z1700	fcc_iron	MORB	17	1800	Fe	1	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0	0

# H4321	gt	MORB	14	1800	Re	12	3.084	0.022	1.804	0.017	0.773	0.043	0.000	0.000	1.246	0.121	0.975	0.055	0.085	0.006	0.000	7.967	0.23	0.03
# H4321	cpx	MORB	14	1800	Re	6	1.976	0.004	0.543	0.021	0.164	0.009	0.000	0.000	0.431	0.016	0.436	0.011	0.402	0.014	0.000	3.953	0	0
# H4321	stv	MORB	14	1800	Re	2	0.997	0.004	0.002	0.000	0.002	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	1.002	0	0
# H4321	Re	MORB	14	1800	Re	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	1.000	0	0
# H4321	ReO2	MORB	14	1800	Re	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	1.000	0	0

# Problematic cpx
# H4692	gt	MORB	14	1600	Mo	12	3.048	0.006	1.853	0.009	0.837	0.040	0.000	0.000	1.014	0.011	1.134	0.008	0.101	0.009	0.000	7.988	0.21	0.02
# H4692	cpx	MORB	14	1600	Mo	6	1.960	0.002	0.539	0.004	0.144	0.004	0.000	0.000	0.437	0.001	0.469	0.003	0.444	0.005	0.000	3.992	0	0
# H4692	Mo	MORB	14	1600	Mo	1	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0	0
# H4692	MoO2	MORB	14	1600	Mo	2	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0	0

H4557	gt	MORB	14	1800	Fe	12	3.231	0.038	1.620	0.054	1.265	0.115	0.000	0.000	0.854	0.046	0.859	0.057	0.148	0.015	0.000	7.976	0.09	0.02
H4557	cpx	MORB	14	1800	Fe	6	1.951	0.058	0.528	0.034	0.221	0.042	0.000	0.000	0.425	0.005	0.468	0.012	0.385	0.049	0.000	3.978	0	0
H4557	fcc_iron	MORB	14	1800	Fe	1	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0	0

# Z1785	gt	BFI	20	1800	Mo	12	3.647	0.038	0.602	0.074	0.375	0.059	0.000	0.000	3.089	0.104	0.307	0.037	0.046	0.012	0.000	8.066	0.05	0.02
# Z1785	ring	BFI	20	1800	Mo	4	0.982	0.010	0.003	0.000	0.198	0.002	0.000	0.000	1.834	0.018	0.000	0.000	0.000	0.000	0.000	3.017	0	0
# Z1785	hpx	BFI	20	1800	Mo	6	1.958	0.007	0.049	0.016	0.110	0.015	0.000	0.000	1.806	0.010	0.089	0.004	0.009	0.001	0.000	4.022	0	0
# Z1785	stv	BFI	20	1800	Mo	2	0.991	0.007	0.008	0.002	0.001	0.001	0.000	0.000	0.005	0.008	0.000	0.000	0.000	0.000	0.000	1.005	0	0
# Z1785	Mo	BFI	20	1800	Mo	2	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0	0
# Z1785	MoO2	BFI	20	1800	Mo	2	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0	0

Z1786	gt	BFI	20	1800	Fe	12	3.421	0.064	1.121	0.167	0.481	0.095	0.000	0.000	2.518	0.095	0.411	0.053	0.096	0.014	0.000	8.048	0.08	0.02
Z1786	ring	BFI	20	1800	Fe	4	0.985	0.008	0.004	0.001	0.507	0.007	0.000	0.000	1.512	0.012	0.003	0.002	0.005	0.001	0.000	3.015	0	0
Z1786	wad	BFI	20	1800	Fe	4	1.001	0.025	0.010	0.006	0.293	0.021	0.000	0.000	1.678	0.037	0.009	0.010	0.007	0.001	0.000	2.998	0	0
Z1786	fcc_iron	BFI	20	1800	Fe	1	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0	0

# Z1782	gt	BFI	17	1600	Mo	12	3.274	0.071	1.459	0.151	0.673	0.019	0.000	0.000	2.164	0.053	0.358	0.038	0.069	0.007	0.000	7.997	0.1	0.04
# super high pressure for ol?! Z1782	ol	BFI	17	1600	Mo	4	1.002	0.005	0.002	0.002	0.722	0.005	0.000	0.000	1.267	0.008	0.001	0.001	0.004	0.001	0.000	2.999	0	0
# Z1782	ring	BFI	17	1600	Mo	4	1.002	0.005	0.004	0.001	0.531	0.006	0.000	0.000	1.454	0.008	0.001	0.001	0.009	0.001	0.000	3.001	0	0
# Z1782	hpx	BFI	17	1600	Mo	6	2.001	0.031	0.012	0.008	0.230	0.020	0.000	0.000	1.720	0.031	0.026	0.011	0.007	0.002	0.000	3.996	0	0
# Z1782	Mo	BFI	17	1600	Mo	2	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0	0
# Z1782	MoO2	BFI	17	1600	Mo	2	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0	0

# H4692	gt	BFI	14	1800	Mo	12	3.216	0.042	1.412	0.044	0.640	0.086	0.000	0.000	2.507	0.105	0.242	0.008	0.021	0.001	0.000	8.037	0.16	0.03
# H4692	hpx	BFI	14	1800	Mo	6	1.971	0.014	0.015	0.001	0.238	0.017	0.000	0.000	1.793	0.021	0.005	0.000	0.000	0.000	0.000	4.022	0	0
# H4692	ol	BFI	14	1800	Mo	4	0.974	0.018	0.003	0.002	0.300	0.015	0.000	0.000	1.744	0.034	0.003	0.001	0.000	0.000	0.000	3.024	0	0
# H4692	cpx	BFI	14	1800	Mo	6	1.966	0.004	0.068	0.009	0.284	0.012	0.000	0.000	1.285	0.016	0.363	0.000	0.071	0.001	0.000	4.036	0	0
# H4692	Mo	BFI	14	1800	Mo	2	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0	0
# H4692	MoO2	BFI	14	1800	Mo	2	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0	0
