153 537.46 0.10
203 537.78 0.09
253 538.26 0.08
303 538.81 0.07
323 539.36 0.09
368 539.85 0.10
415 540.59 0.12
461 541.29 0.12
508 541.90 0.07
557 542.47 0.09
606 543.32 0.10
655 544.19 0.08
705 545.00 0.08
756 545.99 0.08
808 546.85 0.07
