297 538.188 0.013
297 538.213 0.013
343 538.788 0.016
389 539.352 0.016
437 540.030 0.016
484 540.728 0.016
532 541.576 0.017
581 542.300 0.017
629 543.061 0.018
678 543.770 0.018
728 544.610 0.018
777 545.391 0.018
827 546.356 0.018
878 547.285 0.018
929 548.196 0.019
980 549.108 0.019
1031 549.964 0.019
1084 550.747 0.019
297 538.469 0.018
320 538.843 0.019
366 539.450 0.019
413 540.116 0.019
461 540.851 0.020
508 541.594 0.020
566 542.417 0.021
605 543.077 0.021
654 543.815 0.020
703 544.685 0.023
753 545.488 0.021
802 546.379 0.021
853 547.234 0.022
903 548.242 0.022
955 549.088 0.023
1006 549.842 0.024
1058 550.791 0.023
1110 551.881 0.024
1163 552.373 0.060
