  1.21229E-02  1.29489E+02  1.65134E-03  1.86872E+01
  1.99771E-02  1.46752E+02  1.71539E-03  1.38151E+01
  2.23733E-02  1.62923E+02  1.68702E-03  1.36038E+01
  2.77930E-02  1.56098E+02  1.73112E-03  1.10055E+01
  3.16865E-02  1.68707E+02  1.76322E-03  1.07893E+01
  3.50888E-02  1.61163E+02  1.79156E-03  9.58016E+00
  3.74047E-02  1.73372E+02  1.75927E-03  9.57565E+00
  4.35452E-02  1.68983E+02  1.80995E-03  8.43272E+00
  4.84986E-02  1.62500E+02  1.79702E-03  7.35400E+00
  5.13486E-02  1.62689E+02  1.82045E-03  7.11259E+00
  5.60881E-02  1.59456E+02  1.80347E-03  6.42175E+00
  5.98964E-02  1.62310E+02  2.63710E-03  9.05972E+00
  6.71791E-02  1.60388E+02  1.89474E-03  5.86472E+00
  7.31785E-02  1.59603E+02  1.88446E-03  5.42333E+00
  7.85289E-02  1.56810E+02  1.92874E-03  5.15976E+00
  8.40060E-02  1.54207E+02  1.97471E-03  4.92985E+00
  9.20408E-02  1.45751E+02  1.97742E-03  4.34960E+00
  9.56271E-02  1.45835E+02  2.00751E-03  4.29154E+00
  1.00836E-01  1.40962E+02  1.98330E-03  3.93688E+00
  1.02345E-01  1.43331E+02  1.99577E-03  3.98340E+00
  1.09256E-01  1.34957E+02  2.05351E-03  3.67481E+00
  1.11604E-01  1.35546E+02  2.07336E-03  3.66795E+00
  1.14843E-01  1.35189E+02  2.10091E-03  3.62901E+00
  1.17392E-01  1.34580E+02  2.04955E-03  3.46757E+00
  1.20263E-01  1.32924E+02  2.07347E-03  3.40363E+00
  1.22047E-01  1.34791E+02  2.08841E-03  3.43882E+00
  1.25275E-01  1.33281E+02  2.04005E-03  3.25850E+00
  1.27781E-01  1.33797E+02  2.06055E-03  3.25644E+00
  1.29005E-01  1.38871E+02  2.07061E-03  3.37284E+00
  1.35451E-01  1.37582E+02  2.12407E-03  3.30819E+00
  1.38459E-01  1.37457E+02  2.14929E-03  3.29157E+00
  1.41905E-01  1.37735E+02  2.09773E-03  3.16234E+00
  1.45398E-01  1.38186E+02  2.12638E-03  3.16008E+00
  1.49104E-01  1.37492E+02  2.15704E-03  3.13227E+00
  1.53117E-01  1.40437E+02  2.19054E-03  3.18767E+00
