V-K-K' covariance matrix,1=volume (A^3),2=bulk modulus (GPa),3=pressure derivative of bulk modulus
pressure (GPa),1,2,3,11,12,13,22,23,33
3.000E+01, 6.703278E+01, 2.738615E+02, 3.502390E+00, 3.042543E-03, 4.994682E-02,-7.010856E-05, 1.914009E+01, 3.986570E-01, 1.350448E-02
3.100E+01, 6.679002E+01, 2.773464E+02, 3.464308E+00, 3.123099E-03, 6.686181E-02,-1.419292E-04, 1.989973E+01, 3.561804E-01, 1.342887E-02
3.200E+01, 6.655114E+01, 2.807901E+02, 3.419382E+00, 3.229317E-03, 8.368913E-02,-3.973659E-04, 2.056517E+01, 3.039575E-01, 1.438724E-02
3.300E+01, 6.631600E+01, 2.841851E+02, 3.365991E+00, 3.359201E-03, 1.001350E-01,-8.730814E-04, 2.111721E+01, 2.422614E-01, 1.699133E-02
3.400E+01, 6.608443E+01, 2.875221E+02, 3.302168E+00, 3.510418E-03, 1.158610E-01,-1.611331E-03, 2.153790E+01, 1.722694E-01, 2.212784E-02
3.500E+01, 6.585631E+01, 2.907895E+02, 3.225525E+00, 3.680271E-03, 1.304815E-01,-2.657926E-03, 2.181306E+01, 9.676323E-02, 3.105714E-02
3.600E+01, 6.563149E+01, 2.939731E+02, 3.133176E+00, 3.865678E-03, 1.435673E-01,-4.061521E-03, 2.193630E+01, 2.082277E-02, 4.554411E-02
3.700E+01, 6.540980E+01, 2.970558E+02, 3.021641E+00, 4.063166E-03, 1.546496E-01,-5.872364E-03, 2.191434E+01,-4.714368E-02, 6.803881E-02
3.800E+01, 6.519110E+01, 3.000164E+02, 2.886736E+00, 4.268863E-03, 1.632325E-01,-8.138488E-03, 2.177520E+01,-9.397222E-02, 1.018867E-01
3.900E+01, 6.497522E+01, 3.028293E+02, 2.723460E+00, 4.478528E-03, 1.688142E-01,-1.090153E-02, 2.157930E+01,-9.993304E-02, 1.516020E-01
4.000E+01, 6.476198E+01, 3.054633E+02, 2.525850E+00, 4.687589E-03, 1.709208E-01,-1.418699E-02, 2.143489E+01,-3.630969E-02, 2.231114E-01
4.100E+01, 6.455119E+01, 3.078810E+02, 2.286860E+00, 4.891247E-03, 1.691642E-01,-1.799668E-02, 2.151876E+01, 1.372496E-01, 3.240862E-01
4.200E+01, 6.434265E+01, 3.100371E+02, 1.998223E+00, 5.084640E-03, 1.633145E-01,-2.229253E-02, 2.210256E+01, 4.760255E-01, 4.641215E-01
4.300E+01, 6.413613E+01, 3.118774E+02, 1.650347E+00, 5.263082E-03, 1.534214E-01,-2.697238E-02, 2.358601E+01, 1.053006E+00, 6.544903E-01
4.400E+01, 6.393136E+01, 3.133378E+02, 1.232261E+00, 5.422483E-03, 1.399732E-01,-3.185685E-02, 2.653426E+01, 1.960457E+00, 9.078489E-01
4.500E+01, 6.372806E+01, 3.143420E+02, 7.316892E-01, 5.559921E-03, 1.240926E-01,-3.665481E-02, 3.171729E+01, 3.308580E+00, 1.236355E+00
4.600E+01, 6.352589E+01, 3.148011E+02, 1.353119E-01, 5.674480E-03, 1.078206E-01,-4.093107E-02, 4.013861E+01, 5.215646E+00, 1.647681E+00
4.700E+01, 6.332447E+01, 3.146126E+02,-5.705984E-01, 5.768495E-03, 9.443020E-02,-4.411026E-02, 5.303462E+01, 7.785758E+00, 2.139245E+00
