# x_gr deltaHsol deltaHerr (kcal/gfw, uncert is 1 s.d.)
0      27.19     0.24
0.09   27.11	 0.34
0.18   28.33	 0.24
0.275  29.29	 0.28
0.47   32.55	 0.25
0.80   38.37	 0.19
0.90   39.75	 0.15
1.00   42.21	 0.41
# all samples prepped from glass at 1300 C and 40 kbar apart from grossular (1250C)
