# x_gr  S	S_err
0.000	265.94	0.23
0.102	268.09	0.22
0.102	268.65	0.21
0.102	268.06	0.27
0.264	267.48	0.24
0.400	265.11	0.22
0.414	265.44	0.24
0.512	265.48	0.23
0.760	262.44	0.25
0.904	259.58	0.23
0.904	259.23  0.22
1.000	259.47	0.25
1.000 	257.86	0.26
