# P (GPa)	T (K)	V	      a	    b	    c	    C11T	S	C22T	S	C33T	S	C12T	S	C13T	S	C23T	S	C44	C55	C66	KT	  KS	  G	    g	   a
38	      1500	147.63	4.628	4.792	6.658	601	616	697	711	649	663	266	280	235	249	251	264	262	219	199	382.7	396.8	214.3	1.3	 1.91
38	      2500	150.83	4.675	4.814	6.703	553	579	629	654	591	615	233	258	218	243	240	265	232	210	178	349.9	375.8	194.9	1.37 2.15
38	      3500	154.08	4.723	4.836	6.747	525	564	545	578	545	580	222	258	218	256	251	286	202	180	147	332.7	369.5	166.2	1.4	 2.26
88	      1500	132.55	4.435	4.655	6.42	813	826	978	991	933	945	464	477	348	362	383	396	336	266	264	565.7	579.4	269.7	1.21 1.34
88	      3500	136.48	4.499	4.674	6.492	749	783	847	878	821	850	398	431	324	356	364	395	270	234	195	508.6	542.5	226.9	1.26 1.51
