# T(K) EMF
# Run 1
1218 311.0
1266 308.6
1256 309.0
1244 309.9
1233 310.6
1198 311.7
1186 312.4
1174 313.0
1149 314.5
1123 316.3
1110 317.1
1135 315.5
1160 314.1
1196 312.8
1209 311.1
1221 310.3
1233 309.5
1278 308.1
1289 308.2
1300 305.9
1311 304.6

# Run 2
1144 315.2
1118 315.6
1091 316.5
1064 318.1
1049 319.1
1063 317.9
1077 316.9
1090 316.3
1104 315.7
1117 315.3
1130 314.9
1142 314.5
1155 314.0
1167 313.4
1180 312.9
1193 312.2
1205 311.5
