# Run	P(GPa) T(C)	X PvFe		X MwFe 
U93 	25     1500	0.163  0.003	0.485  0.005     
M136	29     1500	0.162  0.007	0.700  0.020
M134	38     1500	0.211  0.012	0.868  0.007
M135	47     1500	0.248  0.016	0.921  0.004
U99	22     2000	0.183  0.004	0.635  0.001
M204	27     2000	0.257  0.004	0.795  0.005
M224	34     2000	0.290  0.010	0.858  0.006
M183	43     2000	0.318  0.013	0.904  0.002
# graphite capsules
# all samples are in equilibrium with stv
