# Expt	Chamber	P (GPa)	T (K)	Phase	Fe	Fe err	Al	Al err	Si	Si err	Mg	Mg err	cation total
V175	A	14	1673.15	wad	0.86	0.02	0.059	0.002	2.95	0.01	5.14	0.02	9.009
V175	D	14	1673.15	gt	0.87	0.05	1.9	0.1	2.96	0.06	2.39	0.09	8.12
V175	D	14	1673.15	ring	2.26	0.05	0.03	0.06	2.94	0.01	3.8	0.06	9.03
V175	B	14	1673.15	gt	0.86	0.07	1.9	0.1	3	0.04	2.3	0.09	8.06
V175	B	14	1673.15	ring	2.23	0.04	0.009	0.003	2.98	0.01	3.79	0.03	9.009
V175	H	14	1673.15	gt	2.27	0.04	1.93	0.01	2.99	0.01	0.83	0.01	8.02
V175	H	14	1673.15	ring	5.08	0.03	0.008	0.002	2.99	0.01	0.93	0.01	9.008
V175	G	14	1673.15	gt	1.95	0.02	1.957	0.009	3	0.1	1.12	0.02	8.027
V175	G	14	1673.15	ring	4.8	0.07	0.008	0.002	2.99	0.03	1.217	0.009	9.015
V175	F	14	1673.15	gt	1.33	0.07	1.95	0.01	2.92	0.02	1.88	0.05	8.08
V175	F	14	1673.15	ring	3.55	0.03	0.014	0.001	2.91	0.01	2.6	0.02	9.074
													
V179	D	18	1673.15	gt	0.79	0.05	1.84	0.08	3.02	0.04	2.41	0.05	8.06
V179	D	18	1673.15	ring	2.02	0.03	0.1	0.1	2.98	0.03	3.9	0.1	9
V179	B	18	1673.15	gt	0.68	0.03	1.9	0.05	3.01	0.02	2.44	0.03	8.03
V179	B	18	1673.15	ring	1.8	0.03	0.024	0.009	2.98	0.02	4.18	0.02	8.984
V179	A	18	1673.15	gt	0.38	0.02	1.95	0.17	2.99	0.06	2.69	0.02	8.01
V179	A	18	1673.15	ring	1.01	0.04	0.031	0.002	2.99	0.02	4.95	0.04	8.981
# All samples in equilibrium with metallic iron (fcc_iron)
