# Run id Pkbar	TC	Phase	Min (mol fraction CaMgSi2O6)	Max	Reference
40	30	1500	opx	0.1	0.104	Mori and Green (1975)
40	30	1500	cpx	0.55	0.578	Mori and Green (1975)
41	30	1500	opx	0.108	0.11	Nickel and Brey (1984)
41	30	1500	cpx	0.456	0.654	Nickel and Brey (1984)
						
42	40	1200	opx	0.034	0.038	Brey and Huth (1984)
42	40	1200	cpx	0.842	0.872	Brey and Huth (1984)
43	40	1300	opx	0.052	0.052	Brey and Huth (1984)
43	40	1300	cpx	0.78	0.794	Brey and Huth (1984)
44	40	1500	opx	0.092	0.098	Nickel and Brey (1984)
44	40	1500	cpx	0.524	0.574	Nickel and Brey (1984)
						
45	50	900	opx	0.006	0.008	Nickel and Brey (1984)
45	50	900	cpx	0.914	0.948	Nickel and Brey (1984)
46	50	1100	opx	0.023	0.032	Brey and Huth (1984)
46	50	1100	cpx	0.872	0.894	Brey and Huth (1984)
47	50	1200	opx	0.032	0.032	Brey and Huth (1984)
47	50	1200	cpx	0.842	0.88	Brey and Huth (1984)
48	50	1300	opx	0.046	0.048	Brey and Huth (1984)
48	50	1300	cpx	0.784	0.816	Brey and Huth (1984)
49	50	1400	opx	0.063	0.063	Brey and Huth (1984)
49	50	1400	cpx	0.724	0.752	Brey and Huth (1984)
50	50	1500	opx	0.086	0.086	Brey and Huth (1984)
50	50	1500	cpx	0.586	0.608	Brey and Huth (1984)
						
51	60	1300	opx	0.036	0.038	Brey and Huth (1984)
51	60	1300	cpx	0.788	0.828	Brey and Huth (1984)
