% Supplemental Table S1: P-V-T data on Fe–9Si from synchrotron X-ray diffraction experiments.
% Phase(s)	T sample (K)	± (K)	Pressure (GPa)	± (GPa)	a KBr (Å)	± (Å)	a D03 alloy (Å)	± (Å)	a hcp alloy (Å)	± (Å)	c/a hcp alloy	±	a B2 alloy (Å)	± (Å)	a fcc alloy (Å)	± (Å)
hcp	1496	107	149.3	5.6	2.961	0.011	-	-	2.263	0.001	1.612	0.001	-	-	-	-
hcp	1589	108	147.6	5.8	2.964	0.011	-	-	2.266	0.001	1.609	0.001	-	-	-	-
hcp	1708	112	148.6	5.0	2.963	0.009	-	-	2.266	0.001	1.610	0.001	-	-	-	-
hcp	1835	115	147.8	4.6	2.965	0.009	-	-	2.263	0.001	1.613	0.001	-	-	-	-
hcp	2007	114	147.0	4.2	2.967	0.008	-	-	2.263	0.001	1.615	0.001	-	-	-	-
hcp	2106	115	147.8	4.1	2.965	0.008	-	-	2.264	0.000	1.614	0.000	-	-	-	-
hcp	2232	120	147.4	4.2	2.966	0.008	-	-	2.264	0.001	1.615	0.000	-	-	-	-
hcp	2356	120	150.5	5.2	2.961	0.010	-	-	2.263	0.001	1.616	0.000	-	-	-	-
hcp	1312	105	176.4	5.1	2.913	0.008	-	-	2.238	0.001	1.607	0.001	-	-	-	-
hcp	1414	107	178.4	5.6	2.910	0.009	-	-	2.238	0.001	1.607	0.001	-	-	-	-
hcp	1522	110	176.7	5.9	2.913	0.009	-	-	2.239	0.001	1.606	0.001	-	-	-	-
hcp	1652	109	175.5	4.9	2.916	0.008	-	-	2.239	0.001	1.608	0.001	-	-	-	-
hcp	1773	110	177.1	5.4	2.913	0.009	-	-	2.238	0.001	1.610	0.001	-	-	-	-
hcp	1877	111	174.0	5.2	2.919	0.008	-	-	2.239	0.001	1.609	0.001	-	-	-	-
hcp	1969	114	175.6	4.3	2.916	0.007	-	-	2.239	0.001	1.609	0.001	-	-	-	-
hcp	2090	114	175.2	4.3	2.917	0.007	-	-	2.238	0.001	1.611	0.001	-	-	-	-
hcp	2217	117	177.2	4.3	2.914	0.007	-	-	2.238	0.001	1.612	0.001	-	-	-	-
hcp	2311	120	174.6	4.4	2.919	0.007	-	-	2.239	0.001	1.610	0.001	-	-	-	-
hcp	2406	123	178.3	5.3	2.913	0.008	-	-	2.238	0.001	1.614	0.001	-	-	-	-
hcp	2527	126	176.9	4.0	2.915	0.006	-	-	2.240	0.002	1.609	0.001	-	-	-	-
hcp	1156	104	191.4	4.3	2.890	0.006	-	-	2.221	0.001	1.609	0.001	-	-	-	-
hcp	1261	105	194.2	4.1	2.886	0.006	-	-	2.219	0.002	1.611	0.002	-	-	-	-
hcp	1365	107	195.1	3.7	2.885	0.005	-	-	2.221	0.001	1.612	0.001	-	-	-	-
hcp	1472	112	195.1	4.2	2.885	0.006	-	-	2.219	0.002	1.612	0.002	-	-	-	-
hcp	1604	109	195.3	4.3	2.885	0.006	-	-	2.219	0.002	1.612	0.001	-	-	-	-
hcp	1730	110	194.9	3.3	2.886	0.005	-	-	2.221	0.001	1.611	0.001	-	-	-	-
hcp	1857	112	196.7	4.4	2.884	0.006	-	-	2.222	0.001	1.612	0.001	-	-	-	-
hcp	1966	113	195.5	3.9	2.886	0.006	-	-	2.220	0.002	1.614	0.001	-	-	-	-
hcp	2099	115	196.8	4.2	2.884	0.006	-	-	2.220	0.002	1.614	0.001	-	-	-	-
hcp	2197	121	196.8	4.3	2.884	0.006	-	-	2.221	0.001	1.613	0.001	-	-	-	-
hcp	2338	123	196.6	5.0	2.885	0.007	-	-	2.223	0.000	1.614	0.000	-	-	-	-
hcp	2453	125	197.1	4.1	2.885	0.006	-	-	2.220	0.001	1.616	0.001	-	-	-	-
