1768.22810591  7135.59322034
1772.70875764  7169.49152542
1777.18940937  7208.23244552
1782.89205703  7188.86198547
1787.37270876  7174.33414044
1789.81670061  7208.23244552
1798.3706721  7203.38983051
1803.2586558  7198.5472155
1806.92464358  7222.76029056
1812.21995927  7208.23244552
1816.700611  7159.8062954
1823.21792261  7135.59322034
1827.69857434  7130.75060533
1835.84521385  7116.22276029
1836.25254582  7159.8062954
1844.39918534  7125.90799031
1851.32382892  7106.53753027
1856.6191446  7154.96368039
1858.24847251  7096.85230024
1863.95112016  7106.53753027
1869.24643585  7092.00968523
1874.54175153  7092.00968523
1885.53971487  7096.85230024
1892.05702648  7058.11138015
1898.57433809  7072.63922518
1904.68431772  7087.16707022
1911.6089613  7058.11138015
1916.90427699  7062.95399516
1923.82892057  7062.95399516
1929.53156823  7072.63922518
1936.45621181  7038.7409201
1938.49287169  7067.79661017
1938.49287169  7111.38014528
