# Table 5. Conditions of equilibration experiments in the NCMAS system and the average compositions of phases
# Run	Mix 	t(h)	ramP	P(kbar)	TC	Phase	n	Cations/6 oxygens
# Di-Jdjoin							      Na	  Ca	  Mg	  Al	  Si	  Sum
235	N	7	400	152	1650	gt	2	  0.618	0.333	0.318	0.839	1.891	3.999
235	N	7	400	152	1650	cpx	10	0.711	0.28	0.313	0.712	1.992	4.008
264	O	7	400	152	1650	gt	3	  0.429	0.634	0.476	0.552	1.924	4.015
264	O	7	400	152	1650	cpx	5	  0.505	0.514	0.519	0.482	1.995	4.015
279	P	7	400	152	1650	gt	3	  0.432	0.617	0.415	0.614	1.915	3.993
279	P	7	400	152	1650	cpx	27	0.536	0.478	0.483	0.505	2.006	4.008
290	P	7	500	160	1650	gt	4	  0.513	0.545	0.396	0.641	1.92	4.015
290	P	7	500	160	1650	cpx	22	0.571	0.428	0.469	0.53	2.011	4.009
290	P	7	500	160	1650	cpv	6	  0.013	1.977	0.004	0.034	1.981	4.009
515	O	6.6	600	165	1650	gt	5	0.441	0.54	0.638	0.375	2.02	4.014
515	O	6.6	600	165	1650	cpx	5	0.389	0.549	0.706	0.355	2.009	4.008
515	O	6.6	600	165	1650	cpx	4	0.468	0.502	0.61	0.424	2.009	4.013
515	O	6.6	600	165	1650	cpv	1	0.06	1.944	0.025	0.039	1.971	4.039
