# Expt	P (GPa)	T (K)	  Phase	  Al	  Fe2+	  Fe3+	  Si
# all experiments in fcc stability field
u589	9.0	1373.15	  gt	  0.475	  2.989	  1.547	  2.989
#u589	9.0	1373.15	  sp	  ????
u589	9.0	1373.15	  hem	  0. 	  0.	  2.	  0.
u589	9.0	1373.15	  coe	  0.	  0.	  0.	  1.

u598	9.5	1373.15	  gt	  0.209	  2.990	  1.812	  2.990
#u598	9.5	1373.15	  sp	  ???
u598	9.5	1373.15	  hem	  0.	  0.	  2.	  0.
u598	9.5	1373.15	  coe	  0.	  0.	  0.	  1.

u524	9.0	1373.15	  gt	  0.347	  3.010	  1.633	  3.010
u524	9.0	1373.15	  sp	  0.004	  1.450	  1.097	  0.450
u524	9.0	1373.15	  coe	  0.	  0.	  0.	  1.

u548	10.0	1373.15	  gt	  0.	  3.015	  1.970	  3.015
u548	10.0	1373.15	  sp	  0.	  1.391	  1.219	  0.391
u548	10.0	1373.15	  stv	  0.	  0.	  0.	  1.

u548a	10.0	1373.15	  gt	  0.	  3.069	  1.862	  3.069
u548a	10.0	1373.15	  sp	  0.	  1.445	  1.111	  0.445
u548a	10.0	1373.15	  stv	  0.	  0.	  0.	  1.

#u598b	9.5	1373.15	  gt	  ????
u598b	9.5	1373.15	  sp 	  0.	  1.434	  1.132	  0.434
u598b	9.5	1373.15	  coe	  0.	  0.	  0.	  1.
u598b	9.5	1373.15	  hem	  0.	  0.	  2.	  0.

u636	10.0	1373.15	  gt	  0.0	  3.004	  1.976	  3.004
u636	10.0	1373.15	  sp	  0.	  1.637	  0.736	  0.637
u636	10.0	1373.15	  stv	  0.	  0.	  0.	  1.

u666	9.3	1373.15	  gt	  0.	  3.006	  1.980	  3.006
u666	9.3	1373.15	  sp	  0.	  1.361	  1.277	  0.362
u666	9.3	1373.15	  coe	  0.	  0.	  0.	  1.

u693	10.5	1373.15	  gt	  0.	  3.031	  1.837	  3.031
u693	10.5	1373.15	  sp	  0.	  1.381	  1.238	  0.381
u693	10.5	1373.15	  stv	  0.	  0.	  0.	  1.

u702	9.7	1373.15	  gt	  0.	  2.996	  2.008	  2.996
#u702	9.7	1373.15	  sp	  ????
u702	9.7	1373.15	  stv	  0.	  0.	  0.	  1.

aw45r	2.7	1353.15	  gt	  1.757	  2.965	  0.312	  2.965
aw45r	2.7	1353.15	  sp	  0.077	  1.098	  1.727	  0.098
aw45r	2.7	1353.15	  opx	  0.051	  2.032	  0.	  1.945
aw45r	2.7	1353.15	  qtz	  0.	  0.	  0.	  1.

u642r	5.5	1373.15	  gt	  1.346	  2.980	  0.694	  2.980
u642r	5.5	1373.15	  sp	  0.039	  1.188	  1.584	  0.188
u642r	5.5	1373.15	  opx	  0.030	  2.044	  0.	  1.953
u642r	5.5	1373.15	  coe	  0.	  0.	  0.	  1.

u627r	7.0	1373.15	  gt	  0.82	  3.	  1.18	  3.
u627r	7.0	1373.15	  sp	  0.018	  1.314   1.355	  0.314
#u627r	7.0	1373.15	  opx	  ???
u627r	7.0	1373.15	  coe	  0.	  0.	  0.	  1.

aw69r	4.1	1373.15	  gt	  1.636	  2.998	  0.369	  2.998
#aw69r	4.1	1373.15	  px?	  ???
#aw69r	4.1	1373.15	  sp	  ???
aw69r	4.1	1373.15	  coe	  0.	  0.	  0.	  1.

u835r	6.0	1373.15	  gt	  1.293	  2.991	  0.725	  2.991
#u835r	6.0	1373.15	  px?     ???
#u835r	6.0	1373.15	  sp	  ???
u835r	6.0	1373.15	  coe	  0.	  0.	  0.	  1.

# Uncertainties not quoted in paper
