# O (wt %) Si (wt %)
1.820563483706508023e+01 4.115638147291800220e-02
1.803490995631927518e+01 4.580692350170730009e-02
1.783768826090113535e+01 5.163166307010778888e-02
1.760590586786475953e+01 5.913709971393688730e-02
1.732744621113138095e+01 6.916882229832156670e-02
1.698299263922090319e+01 8.325138614973304207e-02
1.653916958653953273e+01 1.044382066885915228e-01
1.593118571144715112e+01 1.398590089276567361e-01
1.500744901312900481e+01 2.108719076088902689e-01
1.325700215510305569e+01 4.231178350298666624e-01
1.021830175744037383e+01 1.184712664618253086e+00
7.753228888503009841e+00 2.417799455218508253e+00
6.144925463974966640e+00 3.712863618328130499e+00
4.965532651997992986e+00 5.061232600954494565e+00
4.061784127088638563e+00 6.458149221586880095e+00
3.354155647644889715e+00 7.900870824916069957e+00
2.792893812246496132e+00 9.387994489987109503e+00
2.343626985153389519e+00 1.091908790984694377e+01
1.981322042164021191e+00 1.249444291484789282e+01
1.687212847926899073e+00 1.411489993921674291e+01
