# Pressure (GPa) Temperature (K) W_FeFeO (J/mol) W_FeOFe (J/mol)
2.450000000000000000e+01 2.473000000000000000e+03 3.741892720114804979e+04 4.447787310343476565e+04
2.450000000000000000e+01 2.473000000000000000e+03 3.741892720114804979e+04 4.447787310343476565e+04
2.450000000000000000e+01 2.473000000000000000e+03 3.571197845198767027e+04 4.556726522469476913e+04
2.000000000000000000e+01 2.473000000000000000e+03 3.473680955335694307e+04 4.955964088220959820e+04
2.000000000000000000e+01 2.473000000000000000e+03 3.150398298389561387e+04 5.179665314731990657e+04
1.200000000000000000e+01 2.373000000000000000e+03 6.486437356295499922e+04 5.572005904750523769e+04
1.200000000000000000e+01 2.373000000000000000e+03 4.555381404592073523e+04 6.203684490542353888e+04
1.500000000000000000e+01 2.303000000000000000e+03 4.232625258921941713e+04 5.030980619729139289e+04
1.500000000000000000e+01 2.573000000000000000e+03 4.575222128323436482e+04 5.376287179694439692e+04
1.800000000000000000e+01 2.393000000000000000e+03 4.381019210266200389e+04 4.633662965641238407e+04
2.100000000000000000e+01 2.573000000000000000e+03 4.647788803438124160e+04 5.095655864239045331e+04
1.000000000000000048e-04 1.800000000000000000e+03 6.714651000000000931e+04 7.992334100000000035e+04
1.000000000000000048e-04 2.200000000000000000e+03 6.355531000000000495e+04 6.747454100000001199e+04
