0.0 172.0 172.0 172.0 172.0
0.01 171.507105113 170.948026341 171.866474555 172.043981328
0.02 171.026610332 169.928300947 171.738313336 172.087212378
0.03 170.558344373 168.939947474 171.615434396 172.129702077
0.04 170.102142124 167.982130699 171.497757126 172.171459394
0.05 169.657844481 167.05405447 171.385202192 172.212493335
0.06 169.225298181 166.154959792 171.277691494 172.252812948
0.07 168.804355655 165.284123025 171.175148109 172.292427318
0.08 168.394874876 164.440854204 171.077496246 172.331345573
0.09 167.996719221 163.624495464 170.984661199 172.36957688
0.1 167.609757341 162.834419563 170.896569299 172.407130447
0.11 167.233863028 162.0700285 170.813147868 172.444015522
0.12 166.8689151 161.330752214 170.734325181 172.480241395
0.13 166.514797284 160.616047367 170.660030414 172.515817396
0.14 166.171398109 159.925396205 170.590193612 172.550752897
0.15 165.838610798 159.258305485 170.524745639 172.585057314
0.16 165.516333177 158.61430547 170.463618145 172.6187401
0.17 165.204467576 157.992948987 170.406743523 172.651810755
0.18 164.902920744 157.393810541 170.354054872 172.684278818
0.19 164.611603764 156.816485486 170.305485959 172.716153873
0.2 164.330431978 156.260589248 170.260971182 172.747445546
0.21 164.05932491 155.725756595 170.220445538 172.778163506
0.22 163.798206194 155.211640953 170.18384458 172.808317464
0.23 163.547003517 154.717913766 170.151104391 172.837917177
0.24 163.305648549 154.244263899 170.122161544 172.866972445
0.25 163.07407689 153.790397077 170.096953072 172.895493111
0.26 162.852228018 153.356035358 170.075416434 172.923489065
0.27 162.640045238 152.940916655 170.057489484 172.950970238
0.28 162.437475636 152.544794269 170.043110441 172.977946608
0.29 162.244470037 152.167436478 170.032217855 173.004428198
0.3 162.060982971 151.808626136 170.024750578 173.030425076
0.31 161.886972634 151.468160316 170.020647736 173.055947356
0.32 161.722400858 151.145849973 170.019848699 173.081005197
0.33 161.567233084 150.841519633 170.022293051 173.105608805
0.34 161.421438341 150.555007117 170.027920562 173.129768432
0.35 161.284989219 150.286163277 170.036671164 173.153494376
0.36 161.157861858 150.034851769 170.048484918 173.176796984
0.37 161.04003593 149.800948836 170.063301992 173.199686648
0.38 160.931494632 149.584343131 170.081062632 173.222173809
0.39 160.832224676 149.384935542 170.101707137 173.244268953
0.4 160.742216285 149.202639058 170.125175834 173.265982618
0.41 160.661463197 149.03737864 170.151409052 173.287325387
0.42 160.589962662 148.889091126 170.180347097 173.308307894
0.43 160.527715453 148.757725149 170.211930231 173.328940819
0.44 160.474725871 148.643241078 170.246098641 173.349234894
0.45 160.431001764 148.545610978 170.282792425 173.369200898
0.46 160.396554537 148.464818593 170.32195156 173.388849662
0.47 160.371399177 148.400859346 170.363515887 173.408192065
0.48 160.355554275 148.353740362 170.407425083 173.427239037
0.49 160.34904205 148.323480511 170.45361864 173.446001558
0.5 160.351888384 148.310110467 170.502035848 173.46449066
0.51 160.364122854 148.313672798 170.552615765 173.482717426
0.52 160.385778772 148.334222066 170.605297208 173.500692988
0.53 160.416893222 148.371824956 170.66001872 173.518428534
0.54 160.457507112 148.426560423 170.716718561 173.5359353
0.55 160.50766522 148.498519867 170.77533468 173.553224576
0.56 160.56741625 148.587807323 170.835804701 173.570307704
0.57 160.636812887 148.694539681 170.898065902 173.587196082
0.58 160.715911865 148.818846931 170.962055197 173.603901156
0.59 160.804774029 148.960872431 171.027709117 173.62043443
0.6 160.903464407 149.120773201 171.094963793 173.636807459
0.61 161.01205229 149.298720248 171.163754942 173.653031854
0.62 161.130611311 149.494898917 171.234017843 173.66911928
0.63 161.259219529 149.709509275 171.305687328 173.685081456
0.64 161.397959526 149.942766522 171.378697761 173.700930157
0.65 161.546918499 150.194901441 171.452983025 173.716677214
0.66 161.706188367 150.466160879 171.528476508 173.732334512
0.67 161.875865877 150.756808267 171.605111085 173.747913994
0.68 162.056052719 151.067124174 171.682819107 173.763427658
0.69 162.246855647 151.397406911 171.761532386 173.778887561
0.7 162.448386611 151.747973169 171.841182183 173.794305813
0.71 162.660762885 152.11915871 171.921699195 173.809694586
0.72 162.884107213 152.511319101 172.003013543 173.825066108
0.73 163.118547959 152.924830508 172.085054761 173.840432664
0.74 163.364219264 153.360090534 172.167751785 173.855806598
0.75 163.621261209 153.817519127 172.251032942 173.871200315
0.76 163.889819993 154.297559544 172.334825943 173.886626276
0.77 164.170048114 154.800679383 172.41905787 173.902097004
0.78 164.462104563 155.327371693 172.503655172 173.917625081
0.79 164.766155028 155.878156149 172.588543654 173.933223149
0.8 165.082372103 156.453580322 172.673648471 173.948903911
0.81 165.410935518 157.054221026 172.758894125 173.964680131
0.82 165.75203237 157.680685774 172.844204452 173.980564634
0.83 166.105857373 158.333614318 172.929502626 173.996570307
0.84 166.47261312 159.013680316 173.014711149 174.012710098
0.85 166.852510355 159.721593107 173.099751847 174.028997021
0.86 167.245768259 160.458099619 173.184545873 174.045444148
0.87 167.652614762 161.22398641 173.269013702 174.062064618
0.88 168.07328685 162.020081864 173.35307513 174.078871632
0.89 168.50803091 162.847258543 173.436649272 174.095878455
0.9 168.95710308 163.70643572 173.51965457 174.113098417
0.91 169.420769619 164.598582094 173.602008788 174.130544912
0.92 169.899307301 165.524718718 173.683629015 174.148231399
0.93 170.393003825 166.485922144 173.764431676 174.166171404
0.94 170.90215825 167.483327819 173.844332526 174.184378517
0.95 171.427081453 168.518133738 173.923246666 174.202866398
0.96 171.96809661 169.59160439 174.001088542 174.221648768
0.97 172.525539703 170.705075023 174.077771957 174.24073942
0.98 173.099760058 171.859956244 174.153210079 174.260152214
0.99 173.691120911 173.057739005 174.227315451 174.279901075
