>> -W0.5,grey,- 
10.00006 -0.0810040250668 0.26
10.250059 -0.080294425703 0.26
10.500058 -0.0795961842009 0.26
10.750057 -0.0789090376601 0.26
11.000056 -0.078232731116 0.26
11.250055 -0.0775670172453 0.26
11.500054 -0.0769116560838 0.26
11.750053 -0.0762664147577 0.26
12.000052 -0.0756310672254 0.26
12.250051 -0.0750053940315 0.26
12.50005 -0.0743891820699 0.26
12.750049 -0.0737822243588 0.26
13.000048 -0.0731843198234 0.26
13.250047 -0.0725952730888 0.26
13.500046 -0.0720148942812 0.26
13.750045 -0.0714429988374 0.26
14.000044 -0.0708794073217 0.26
14.250043 -0.0703239452511 0.26
14.500042 -0.0697764429265 0.26
14.750041 -0.0692367352719 0.26
15.00004 -0.0687046616788 0.26
15.250039 -0.0681800658581 0.26
15.500038 -0.0676627956962 0.26
15.750037 -0.0671527031186 0.26
16.000036 -0.0666496439573 0.26
16.250035 -0.0661534778242 0.26
16.500034 -0.065664067989 0.26
16.750033 -0.0651812812619 0.26
17.000032 -0.0647049878809 0.26
17.250031 -0.0642350614028 0.26
17.50003 -0.0637713785991 0.26
17.750029 -0.0633138193551 0.26
18.000028 -0.0628622665732 0.26
18.250027 -0.0624166060795 0.26
18.500026 -0.0619767265338 0.26
18.750025 -0.0615425193435 0.26
19.000024 -0.0611138785792 0.26
19.250023 -0.0606907008951 0.26
19.500022 -0.0602728854511 0.26
19.750021 -0.0598603338379 0.26
20.00002 -0.0594529500049 0.26
20.250019 -0.0590506401905 0.26
20.500018 -0.0586533128551 0.26
20.750017 -0.0582608786161 0.26
21.000016 -0.0578732501853 0.26
21.250015 -0.0574903423084 0.26
21.500014 -0.0571120717067 0.26
21.750013 -0.0567383570209 0.26
22.000012 -0.056369118756 0.26
22.250011 -0.0560042792294 0.26
22.50001 -0.0556437625196 0.26
22.750009 -0.0552874944169 0.26
23.000008 -0.0549354023762 0.26
23.250007 -0.0545874154706 0.26
23.500006 -0.0542434643474 0.26
23.750005 -0.0539034811845 0.26
24.000004 -0.0535673996494 0.26
24.250003 -0.0532351548583 0.26
24.500002 -0.0529066833373 0.26
24.750001 -0.0525819229849 0.26
25.0 -0.0522608130351 0.26
>> -W0.5,black,- 
0.0001 -0.186984143898 0.65
0.250099 -0.18466647586 0.65
0.500098 -0.182401139853 0.65
0.750097 -0.180186432108 0.65
1.000096 -0.178020720981 0.65
1.250095 -0.175902443209 0.65
1.500094 -0.173830100397 0.65
1.750093 -0.171802255716 0.65
2.000092 -0.169817530797 0.65
2.250091 -0.167874602817 0.65
2.50009 -0.165972201751 0.65
2.750089 -0.164109107785 0.65
3.000088 -0.162284148882 0.65
3.250087 -0.160496198484 0.65
3.500086 -0.158744173348 0.65
3.750085 -0.157027031499 0.65
4.000084 -0.155343770301 0.65
4.250083 -0.153693424636 0.65
4.500082 -0.152075065178 0.65
4.750081 -0.150487796763 0.65
5.00008 -0.148930756848 0.65
5.250079 -0.147403114052 0.65
5.500078 -0.14590406677 0.65
5.750077 -0.144432841867 0.65
6.000076 -0.142988693436 0.65
6.250075 -0.141570901614 0.65
6.500074 -0.140178771475 0.65
6.750073 -0.138811631958 0.65
7.000072 -0.137468834869 0.65
7.250071 -0.136149753918 0.65
7.50007 -0.134853783811 0.65
7.750069 -0.133580339387 0.65
8.000068 -0.132328854791 0.65
8.250067 -0.131098782695 0.65
8.500066 -0.129889593551 0.65
8.750065 -0.12870077488 0.65
9.000064 -0.127531830596 0.65
9.250063 -0.126382280364 0.65
9.500062 -0.125251658983 0.65
9.750061 -0.124139515797 0.65
10.00006 -0.123045414142 0.65
10.250059 -0.121968930807 0.65
10.500058 -0.120909655527 0.65
10.750057 -0.119867190493 0.65
11.000056 -0.118841149892 0.65
11.250055 -0.117831159456 0.65
11.500054 -0.116836856041 0.65
11.750053 -0.115857887221 0.65
12.000052 -0.114893910895 0.65
12.250051 -0.113944594919 0.65
12.50005 -0.113009616746 0.65
12.750049 -0.112088663089 0.65
13.000048 -0.111181429589 0.65
13.250047 -0.110287620506 0.65
13.500046 -0.109406948417 0.65
13.750045 -0.108539133928 0.65
14.000044 -0.107683905399 0.65
14.250043 -0.106840998678 0.65
14.500042 -0.106010156847 0.65
14.750041 -0.105191129981 0.65
15.00004 -0.10438367491 0.65
15.250039 -0.103587554995 0.65
15.500038 -0.102802539914 0.65
15.750037 -0.102028405455 0.65
16.000036 -0.101264933311 0.65
16.250035 -0.100511910896 0.65
16.500034 -0.0997691311545 0.65
16.750033 -0.0990363923884 0.65
17.000032 -0.0983134980837 0.65
17.250031 -0.0976002567478 0.65
17.50003 -0.0968964817511 0.65
17.750029 -0.0962019911751 0.65
18.000028 -0.0955166076657 0.65
18.250027 -0.0948401582927 0.65
18.500026 -0.0941724744133 0.65
18.750025 -0.0935133915417 0.65
19.000024 -0.0928627492226 0.65
19.250023 -0.0922203909099 0.65
19.500022 -0.091586163849 0.65
19.750021 -0.090959918964 0.65
20.00002 -0.0903415107485 0.65
20.250019 -0.0897307971603 0.65
20.500018 -0.0891276395199 0.65
20.750017 -0.0885319024124 0.65
21.000016 -0.0879434535927 0.65
21.250015 -0.0873621638945 0.65
21.500014 -0.0867879071413 0.65
21.750013 -0.0862205600621 0.65
22.000012 -0.0856600022082 0.65
22.250011 -0.0851061158737 0.65
22.50001 -0.084558786019 0.65
22.750009 -0.0840179001959 0.65
23.000008 -0.0834833484759 0.65
23.250007 -0.0829550233808 0.65
23.500006 -0.0824328198149 0.65
23.750005 -0.0819166350006 0.65
24.000004 -0.0814063684146 0.65
24.250003 -0.0809019217277 0.65
24.500002 -0.0804031987456 0.65
24.750001 -0.0799101053513 0.65
25.0 -0.0794225494504 0.65

