# Run_no Chamber P_(GPa) T_(K)	phase	Fe	Feerr	Al	Alerr	Si	Sierr	Mg	Mgerr	Cations	r=Fe/(Fe+Mg)							
V192	B	9	1673.15	mw	0.176	0.004	0.004	0.001	0.006	0.005	0.810	0.010	0.992	0.1785	0.0038
															
V200	A	6	1673.15	ol	0.111	0.007	0.002	0.001	0.992	0.003	1.896	0.009	3.007	0.0553	0.0033
V200	A	6	1673.15	mw	0.150	0.002	0.008	0.001	0.001	0.001	0.835	0.002	0.995	0.1523	0.0017
V200	C	6	1673.15	ol	0.153	0.005	0.002	0.001	0.991	0.004	1.857	0.006	3.008	0.0761	0.0023
V200	C	6	1673.15	mw	0.229	0.003	0.009	0.001	0.001	0.001	0.754	0.003	0.994	0.2330	0.0024
V200	F	6	1673.15	ol	0.242	0.008	0.003	0.001	0.991	0.007	1.769	0.007	3.008	0.1203	0.0035
V200	F	6	1673.15	mw	0.436	0.003	0.015	0.001	0.003	0.001	0.536	0.003	0.990	0.4486	0.0022
V200	Ga	6	1673.15	ol	0.196	0.004	0.003	0.001	0.984	0.006	1.820	0.015	3.014	0.0972	0.0019
V200	Ga	6	1673.15	mw	0.296	0.007	0.011	0.001	0.010	0.010	0.670	0.013	0.989	0.3064	0.0065
V200	C2	6	1673.15	ol	0.332	0.013	0.003	0.001	0.978	0.005	1.703	0.008	3.020	0.1631	0.0054
V200	C2	6	1673.15	mw	0.515	0.003	0.012	0.002	0.003	0.001	0.461	0.002	0.991	0.5277	0.0018
V200	E	6	1673.15	ol	0.190	0.013	0.002	0.001	0.984	0.007	1.830	0.030	3.014	0.0941	0.0060
V200	E	6	1673.15	mw	0.279	0.002	0.011	0.001	0.002	0.001	0.700	0.005	0.993	0.2850	0.0021
V200	B	6	1673.15	ol	0.139	0.008	0.003	0.001	0.978	0.007	1.896	0.008	3.021	0.0683	0.0037
V200	B	6	1673.15	mw	0.180	0.002	0.010	0.001	0.001	0.001	0.802	0.001	0.994	0.1833	0.0017
V200	Gb	6	1673.15	ol	0.188	0.004	0.001	0.001	0.988	0.002	1.825	0.005	3.011	0.0934	0.0018
V200	Gb	6	1673.15	mw	0.305	0.003	0.008	0.001	0.002	0.004	0.680	0.006	0.994	0.3096	0.0028
V200	F2	6	1673.15	ol	0.800	0.004	0.002	0.001	0.987	0.003	1.222	0.004	3.012	0.3956	0.0014
V200	F2	6	1673.15	mw	0.851	0.002	0.005	0.001	0.002	0.001	0.137	0.002	0.995	0.8613	0.0018
V200	G2	6	1673.15	ol	0.904	0.009	0.002	0.001	0.988	0.003	1.116	0.008	3.011	0.4475	0.0030
V200	G2	6	1673.15	mw	0.875	0.003	0.005	0.001	0.003	0.001	0.113	0.002	0.995	0.8856	0.0018
V200	H2	6	1673.15	ol	1.341	0.009	0.003	0.004	0.991	0.009	0.674	0.008	3.008	0.6655	0.0030
V200	H2	6	1673.15	mw	0.941	0.001	0.003	0.001	0.003	0.001	0.048	0.001	0.995	0.9515	0.0010
V200	D2	6	1673.15	ol	0.498	0.006	0.004	0.001	0.987	0.002	1.522	0.003	3.011	0.2465	0.0023
V200	D2	6	1673.15	mw	0.694	0.001	0.013	0.001	0.002	0.001	0.282	0.001	0.991	0.7111	0.0008
V200	E2	6	1673.15	ol	0.579	0.003	0.004	0.001	0.984	0.002	1.447	0.006	3.014	0.2858	0.0014
V200	E2	6	1673.15	mw	0.748	0.004	0.011	0.001	0.002	0.001	0.231	0.003	0.992	0.7640	0.0025
V200	Gc	6	1673.15	ol	0.197	0.004	0.003	0.001	0.984	0.004	1.824	0.007	3.015	0.0975	0.0018
V200	Gc	6	1673.15	mw	0.304	0.002	0.011	0.001	0.002	0.001	0.676	0.003	0.993	0.3102	0.0017
V200	D	6	1673.15	ol	0.239	0.001	0.003	0.001	0.986	0.001	1.783	0.001	3.012	0.1182	0.0004
V200	D	6	1673.15	mw	0.390	0.001	0.013	0.001	0.001	0.001	0.589	0.001	0.993	0.3984	0.0007
															
V208	E2	11	1673.15	ol	0.593	0.005	0.001	0.001	0.993	0.003	1.420	0.010	3.006	0.2946	0.0023
V208	E2	11	1673.15	ring	1.150	0.010	0.004	0.001	0.990	0.005	0.861	0.007	3.008	0.5719	0.0029
V208	E2	11	1673.15	mw	0.798	0.002	0.002	0.003	0.002	0.001	0.195	0.003	0.997	0.8036	0.0025
V208	AC	11	1673.15	ol	0.033	0.002	0.001	0.001	1.002	0.003	1.962	0.006	2.998	0.0165	0.0010
V208	AC	11	1673.15	mw	0.035	0.003	0.001	0.001	0.002	0.003	0.960	0.005	0.998	0.0352	0.0029
V208	C	11	1673.15	ol	0.127	0.007	0.001	0.001	0.997	0.002	1.878	0.008	3.003	0.0633	0.0033
V208	C	11	1673.15	mw	0.211	0.001	0.002	0.001	0.002	0.001	0.783	0.002	0.997	0.2123	0.0009
V208	A	11	1673.15	ol	0.102	0.003	0.001	0.001	0.997	0.002	1.904	0.004	3.003	0.0508	0.0014
V208	A	11	1673.15	mw	0.150	0.002	0.002	0.001	0.001	0.001	0.843	0.002	0.998	0.1511	0.0017
V208	E	11	1673.15	ol	0.160	0.010	0.001	0.001	1.000	0.020	1.830	0.030	2.996	0.0804	0.0048
V208	E	11	1673.15	mw	0.264	0.002	0.002	0.001	0.003	0.001	0.727	0.003	0.996	0.2664	0.0017
V208	B	11	1673.15	ol	0.127	0.005	0.001	0.001	0.997	0.004	1.880	0.010	3.002	0.0633	0.0024
V208	B	11	1673.15	mw	0.170	0.005	0.002	0.001	0.006	0.001	0.810	0.020	0.993	0.1735	0.0055
V208	D	11	1673.15	ol	0.227	0.004	0.001	0.001	0.998	0.007	1.770	0.020	3.001	0.1137	0.0021
V208	D	11	1673.15	mw	0.423	0.004	0.004	0.001	0.003	0.001	0.566	0.004	0.995	0.4277	0.0029
V208	F	11	1673.15	ol	0.260	0.007	0.001	0.001	0.996	0.006	1.740	0.010	3.003	0.1300	0.0031
V208	F	11	1673.15	mw	0.462	0.003	0.003	0.001	0.005	0.005	0.523	0.006	0.994	0.4690	0.0033
V208	C2	11	1673.15	ol	0.410	0.020	0.000	0.001	0.994	0.003	1.600	0.010	3.006	0.2040	0.0080
V208	C2	11	1673.15	mw	0.690	0.010	0.002	0.001	0.005	0.007	0.300	0.007	0.994	0.6970	0.0058
V208	G	11	1673.15	ol	0.170	0.010	0.002	0.003	0.995	0.002	1.834	0.004	3.004	0.0848	0.0046
V208	G	11	1673.15	mw	0.285	0.002	0.002	0.001	0.002	0.001	0.708	0.004	0.997	0.2870	0.0018
V208	B2	11	1673.15	ol	0.200	0.010	0.000	0.001	0.995	0.002	1.807	0.008	3.004	0.0997	0.0045
V208	B2	11	1673.15	mw	0.380	0.004	0.002	0.001	0.004	0.003	0.611	0.004	0.996	0.3835	0.0029
V208	D2	11	1673.15	ol	0.500	0.020	0.000	0.001	0.982	0.002	1.530	0.020	3.018	0.2463	0.0078
V208	D2	11	1673.15	mw	0.756	0.004	0.001	0.001	0.002	0.002	0.238	0.003	0.997	0.7606	0.0025
V208	F2	11	1673.15	ol	0.510	0.020	0.001	0.001	0.985	0.002	1.520	0.010	3.015	0.2512	0.0075
V208	F2	11	1673.15	ring	1.090	0.010	0.003	0.001	0.985	0.005	0.930	0.010	3.013	0.5396	0.0035
V208	F2	11	1673.15	mw	0.775	0.002	0.003	0.002	0.003	0.003	0.215	0.002	0.996	0.7828	0.0016
V208	G2	11	1673.15	ring	1.115	0.008	0.002	0.001	0.984	0.005	0.915	0.004	3.015	0.5493	0.0021
V208	G2	11	1673.15	mw	0.779	0.004	0.001	0.001	0.003	0.002	0.213	0.002	0.996	0.7853	0.0018
V208	H2	11	1673.15	ring	1.535	0.006	0.002	0.001	0.990	0.003	0.483	0.003	3.009	0.7607	0.0013
V208	H2	11	1673.15	mw	0.908	0.003	0.002	0.002	0.003	0.001	0.083	0.001	0.996	0.9162	0.0010
															
V209	E2	14	1673.15	wad	0.510	0.010	0.015	0.003	0.981	0.004	1.500	0.010	3.012	0.2537	0.0039
V209	E2	14	1673.15	mw	0.548	0.003	0.002	0.001	0.001	0.001	0.447	0.003	0.998	0.5508	0.0021
V209	D	14	1673.15	wad	0.395	0.006	0.020	0.003	0.975	0.004	1.625	0.003	3.015	0.1955	0.0024
V209	D	14	1673.15	mw	0.422	0.003	0.002	0.001	0.001	0.001	0.573	0.003	0.998	0.4241	0.0022
V209	G	14	1673.15	ol	0.234	0.007	0.001	0.001	0.986	0.003	1.793	0.006	3.014	0.1154	0.0031
V209	G	14	1673.15	wad	0.370	0.005	0.019	0.002	0.978	0.003	1.644	0.005	3.012	0.1837	0.0021
V209	G	14	1673.15	mw	0.398	0.004	0.003	0.001	0.001	0.001	0.597	0.003	0.998	0.4000	0.0027
V209	D2	14	1673.15	wad	0.510	0.010	0.012	0.004	0.982	0.002	1.500	0.010	3.012	0.2537	0.0039
V209	D2	14	1673.15	mw	0.548	0.006	0.002	0.001	0.001	0.001	0.447	0.007	0.998	0.5508	0.0047
V209	B	14	1673.15	anB	1.000	0.100	0.060	0.004	4.930	0.040	13.000	0.006	19.040	0.0714	0.0066
V209	B	14	1673.15	mw	0.149	0.002	0.001	0.001	0.001	0.001	0.848	0.002	0.998	0.1494	0.0017
V209	AB	14	1673.15	ol	0.032	0.004	0.000	0.001	0.998	0.004	1.971	0.004	3.002	0.0160	0.0020
V209	AB	14	1673.15	anB	0.300	0.050	0.110	0.005	4.950	0.050	13.620	0.004	18.989	0.0216	0.0035
V209	AB	14	1673.15	mw	0.041	0.007	0.001	0.001	0.001	0.001	0.956	0.007	0.999	0.0411	0.0067
V209	C	14	1673.15	ol	0.127	0.001	0.000	0.001	0.988	0.002	1.896	0.004	3.012	0.0628	0.0005
V209	C	14	1673.15	mw	0.178	0.001	0.001	0.001	0.001	0.001	0.818	0.002	0.998	0.1787	0.0009
