303 59.77 2 31.0 1 2.4155 2 3.8860 7 19.635 0.005
1300 59.50 2 39.0 1 2.4172 3 3.9081 11 19.775 0.007
1100 59.34 2 38.6 1 2.4126 3 3.8941 11 19.630 0.007
900 59.23 1 37.9 1 2.4103 3 3.8853 8 19.547 0.006
700 59.17 3 37.0 2 2.4072 4 3.8777 13 19.460 0.009
500 59.03 1 36.5 1 2.4057 3 3.8719 10 19.406 0.007
303 58.94 2 35.8 1 2.4042 3 3.8669 9 19.357 0.006
1500 58.93 2 43.7 1 2.4100 2 3.9047 5 19.640 0.004
1300 58.78 1 43.2 1 2.4062 2 3.8898 8 19.503 0.005
1100 58.67 1 42.6 1 2.4031 3 3.8794 10 19.402 0.006
900 58.56 2 42.0 1 2.4008 3 3.8706 11 19.320 0.007
700 58.50 1 41.1 1 2.3992 2 3.8633 8 19.259 0.005
500 58.39 1 40.5 1 2.3973 3 3.8577 12 19.199 0.008
304 58.34 2 39.6 1 2.3959 2 3.8530 4 19.153 0.004
1500 58.02 2 49.3 2 2.3982 2 3.8804 5 19.327 0.004
1300 57.88 3 49.0 2 2.3937 2 3.8670 6 19.189 0.004
1100 57.76 2 48.5 1 2.3913 2 3.8569 3 19.100 0.003
900 57.69 2 47.8 1 2.3891 3 3.8493 8 19.027 0.006
700 57.63 2 46.9 1 2.3875 2 3.8430 7 18.971 0.005
500 57.53 2 46.3 1 2.3860 2 3.8374 7 18.919 0.005
304 57.44 2 45.7 2 2.3845 3 3.8336 9 18.877 0.007
1500 57.39 2 53.6 2 2.3891 2 3.8641 5 19.101 0.004
1300 57.27 2 53.2 2 2.3849 2 3.8515 6 18.972 0.004
1100 57.16 2 52.7 2 2.3823 3 3.8416 9 18.882 0.006
900 57.07 2 52.1 2 2.3804 3 3.8339 10 18.813 0.007
700 57.01 2 51.3 1 2.3790 4 3.8277 13 18.761 0.009
500 56.93 2 50.6 1 2.3776 3 3.8230 9 18.717 0.007
306 56.85 2 50.0 2 2.3763 2 3.8188 7 18.674 0.005
1700 57.10 3 56.9 2 2.3861 4 3.8660 12 19.062 0.008
1500 56.98 3 56.5 2 2.3842 2 3.8562 5 18.984 0.004
1300 56.90 2 55.8 2 2.3815 2 3.8443 6 18.882 0.004
1100 56.82 2 55.2 2 2.3792 2 3.8352 7 18.801 0.005
900 56.75 2 54.5 2 2.3776 2 3.8266 6 18.733 0.005
700 56.66 2 53.9 2 2.3757 2 3.8202 7 18.672 0.005
