0.  1780
5.2  1991
11.5667718191  2174
20.6098843323  2400
28.8117770768  2583.07210031
35.1209253417  2710.03134796
42.9022082019  2855.79937304
51.7350157729  3015.67398119
62.039957939  3184.95297806
70.87276551  3321.31661442
81.1777076761  3467.0846395
89.8002103049  3584.63949843
98.0021030494  3692.78996865
107.676130389  3819.7492163
122.187171399  4003.13479624
137.749737119  4195.92476489
151.209253417  4355.79937304
166.561514196  4534.48275862
181.913774974  4708.46394984
198.738170347  4891.84952978
215.141955836  5065.830721
228.811777077  5206.89655172
% first point is an extrapolation
% second point from Strong et al., 1973.
