# i j S_s (Mb^-1)  dS/dT_s (10^-4 Mbar/K) dS/dP (Mb^-2)
1 1   0.3354       0.315                  -0.589
2 2   0.5855       0.894                  -1.387
3 3   0.4965       0.678                  -0.939
4 4   1.5186       3.01                   -4.89
5 5   1.2315       2.01                   -2.51
6 6   1.2364       2.31                   -3.62
2 3   -0.1602      -0.377                 0.064
3 1   -0.0729      -0.069                 -0.132
1 2   -0.0804      -0.031                 -0.133
