1373.15 0.0279096045198  -3.76895325839
1373.15 0.0316384180791  -3.72455749443
1373.15 0.0325423728814  -3.71124352202
1373.15 0.0410169491525  -3.69111483865
1373.15 0.0445197740113  -3.62235185139
1373.15 0.0499435028249  -3.63109430939
1373.15 0.0598870056497  -3.56218861878
1373.15 0.0632768361582  -3.50229076434
1373.15 0.0690395480226  -3.45563427885
1373.15 0.0707344632768  -3.47775329845
1373.15 0.0772881355932  -3.39341311369
1373.15 0.0835028248588  -3.34674661392
1473.15 0.0280225988701  -3.43660215808
1473.15 0.0301694915254  -3.41439801717
1473.15 0.0314124293785  -3.39886087675
1473.15 0.0327683615819  -3.39439951932
1473.15 0.0410169491525  -3.36984452845
1473.15 0.0445197740113  -3.30551285582
1473.15 0.0494915254237  -3.32977492927
1473.15 0.0598870056497  -3.27193751095
1473.15 0.0631638418079  -3.22312044664
1473.15 0.0691525423729  -3.17867461132
1473.15 0.0705084745763  -3.19858548432
1473.15 0.0771751412429  -3.12753673985
1473.15 0.0835028248588  -3.08086773652
1573.15 0.0279096045198  -3.16407881231
1573.15 0.0315254237288  -3.12854818116
1573.15 0.0325423728814  -3.11523170518
1573.15 0.0409039548023  -3.09288986806
1573.15 0.044406779661  -3.0418521393
1573.15 0.049604519774  -3.05503091906
1573.15 0.0597740112994  -3.02821771024
1573.15 0.0631638418079  -2.97496682773
1573.15 0.0693785310734  -2.93273164259
1573.15 0.0705084745763  -2.95043186541
1573.15 0.0772881355932  -2.88602758931
1573.15 0.0838418079096  -2.85486318003
1623.15 0.0281355932203  -3.03778133841
1623.15 0.0314124293785  -3.00447387527
1623.15 0.0325423728814  -2.99558621035
1623.15 0.0410169491525  -2.96437924042
1623.15 0.0445197740113  -2.91777282628
1623.15 0.0493785310734  -2.93539043136
1623.15 0.0596610169492  -2.90414340435
1623.15 0.0631638418079  -2.85975264752
1623.15 0.069604519774  -2.83080639912
1623.15 0.0706214689266  -2.8285682097
1623.15 0.0771751412429  -2.77967854192
1623.15 0.0833898305085  -2.75073730065
