Exeriment	Phase	Comp	P[GPa]	T [°C]	buffer 	Oxygens	Si	Si unc	Al	Al unc	Fe2	Fe2 unc	Fe3	Fe3 unc	Mo	Mo unc	Mg	Mg unc	Ca	Ca unc	Na	Na unc	Re	Total	Fe3/Fetotal	Fe3/Fetotal unc
H4692	Majorite	KLB-1	14	1600	Mo	12	3.164	0.098	1.655	0.165	0.315	0.058	0.000	0.000	0.000	0.000	2.551	0.104	0.322	0.015	0.000	0.000	0.000	8.008	0	0
H4692	Olivine	KLB-1	14	1600	Mo	4	1.005	0.005	0.001	0.000	0.134	0.006	0.000	0.000	0.000	0.000	1.850	0.011	0.004	0.001	0.000	0.000	0.000	2.994		
H4692	Orthopyroxene	KLB-1	14	1600	Mo	6	1.999	0.021	0.021	0.002	0.128	0.001	0.000	0.000	0.000	0.000	1.312	0.013	0.531	0.005	0.000	0.000	0.000	3.990		
H4692	Mo	KLB-1	14	1600	Mo	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000		
H4692	MoO2	KLB-1	14	1600	Mo	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000		
																										
H4556	Majorite	KLB-1	14	1600	Fe	12	3.590	0.036	0.742	0.025	0.374	0.024	0.062	0.016	0.000	0.000	2.505	0.213	0.782	0.077	0.000	0.000	0.000	8.055	0.14	0.04
H4556	Olivine	KLB-1	14	1600	Fe	4	0.993	0.024	0.031	0.009	0.168	0.020	0.000	0.000	0.000	0.000	1.784	0.072	0.016	0.008	0.000	0.000	0.000	2.992		
H4556	Fe-metal	KLB-1	14	1600	Fe	1	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000		
																										
																										
Z1699	Majorite	MORB	20	1600	Re	12	3.357	0.037	1.518	0.061	0.515	0.009	0.141	0.018	0.000	0.000	1.232	0.011	1.005	0.008	0.303	0.014	0.000	8.071	0.21	0.03
Z1699	Stishovite	MORB	20	1600	Re	2	0.988	0.009	0.012	0.002	0.002	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.001	0.000	0.003	0.004	0.000	1.008		
Z1699	Re	MORB	20	1600	Re	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	1.000		
Z1699	ReO2	MORB	20	1600	Re	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	1.000		
																										
H4560	Majorite	MORB	20	1800	Re	12	3.391	0.060	1.570	0.026	0.558	0.011	0.101	0.012	0.000	0.000	0.982	0.011	1.059	0.016	0.377	0.015	0.000	8.038	0.15	0.02
H4560	High-Clinoenstatite	MORB	20	1800	Re	6	2.007	0.035	0.701	0.021	0.115	0.009	0.000	0.000	0.000	0.000	0.247	0.005	0.238	0.011	0.669	0.034	0.000	3.977		
H4560	Stishovite	MORB	20	1800	Re	2	0.982	0.020	0.024	0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.006		
H4560	Re	MORB	20	1800	Re	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	1.000		
H4560	ReO2	MORB	20	1800	Re	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	1.000		
																										
Z1785	Majorite	MORB	20	1800	Mo	12	3.697	0.145	1.401	0.060	0.543	0.018	0.048	0.022	0.000	0.000	0.854	0.043	0.909	0.039	0.325	0.024	0.000	7.776	0.08	0.04
Z1785	Mo	MORB	20	1800	Mo	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000		
Z1785	MoO2	MORB	20	1800	Mo	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000		
																										
Z1786	Majorite	MORB	20	1800	Fe	12	3.634	0.080	1.408	0.034	0.545	0.024	0.068	0.034	0.000	0.000	0.879	0.033	0.968	0.047	0.353	0.042	0.000	7.856	0.11	0.06
Z1786	Fe-Metal	MORB	20	1800	Fe	1	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000		
																										
Z1700	Majorite	MORB	17	1800	Fe	12	3.489	0.151	1.406	0.071	1.044	0.060	0.032	0.010	0.000	0.000	0.822	0.023	0.882	0.032	0.278	0.015	0.000	7.955	0.03	0.01
Z1700	Clinopyroxene	MORB	17	1800	Fe	6	1.942	0.014	0.624	0.034	0.162	0.015	0.000	0.000	0.000	0.000	0.384	0.011	0.395	0.004	0.479	0.021	0.000	3.985		
Z1700	Fe-metal	MORB	17	1800	Fe	1	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000		
																										
H4321	Majorite	MORB	14	1800	Re	12	3.124	0.022	1.828	0.018	0.583	0.031	0.180	0.023	0.000	0.000	1.262	0.123	0.987	0.056	0.086	0.006	0.000	8.050	0.23	0.03
H4321	Clinopyroxene	MORB	14	1800	Re	6	1.976	0.004	0.543	0.021	0.164	0.009	0.000	0.000	0.000	0.000	0.431	0.016	0.436	0.011	0.402	0.014	0.000	3.953		
H4321	Stihsovite	MORB	14	1800	Re	2	0.997	0.004	0.002	0.000	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	1.002		
H4321	Re	MORB	14	1800	Re	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	1.000		
H4321	ReO2	MORB	14	1800	Re	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	1.000		
																										
H4692	Majorite	MORB	14	1600	Mo	12	3.087	0.006	1.877	0.009	0.650	0.025	0.178	0.017	0.000	0.000	1.027	0.011	1.148	0.008	0.102	0.009	0.000	8.070	0.21	0.02
H4692	Clinopyroxene	MORB	14	1600	Mo	6	1.960	0.002	0.539	0.004	0.144	0.004	0.000	0.000	0.000	0.000	0.437	0.001	0.469	0.003	0.444	0.005	0.000	3.992		
H4692	Mo	MORB	14	1600	Mo	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000		
H4692	MoO2	MORB	14	1600	Mo	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000		
																										
H4557	Majorite	MORB	14	1800	Fe	12	3.257	0.039	1.634	0.054	1.147	0.103	0.115	0.025	0.000	0.000	0.861	0.046	0.866	0.058	0.149	0.015	0.000	8.029	0.09	0.02
H4557	Clinopyroxene	MORB	14	1800	Fe	6	1.951	0.058	0.528	0.034	0.221	0.042	0.000	0.000	0.000	0.000	0.425	0.005	0.468	0.012	0.385	0.049	0.000	3.978		
H4557	Fe-metal	MORB	14	1800	Fe	1	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000		
																										
Z1785	Majorite	BFI	20	1800	Mo	12	3.652	0.039	0.603	0.074	0.354	0.056	0.019	0.007	0.000	0.000	3.093	0.104	0.308	0.038	0.046	0.012	0.000	8.075	0.05	0.02
Z1785	Ringwoodite	BFI	20	1800	Mo	4	0.982	0.010	0.003	0.000	0.198	0.002	0.000	0.000	0.000	0.000	1.834	0.018	0.000	0.000	0.000	0.000	0.000	3.017		
Z1785	High-Clinoenstatite	BFI	20	1800	Mo	6	1.958	0.007	0.049	0.016	0.110	0.015	0.000	0.000	0.000	0.000	1.806	0.010	0.089	0.004	0.009	0.001	0.000	4.022		
Z1785	Stishovite	BFI	20	1800	Mo	2	0.991	0.007	0.008	0.002	0.001	0.001	0.000	0.000	0.000	0.000	0.005	0.008	0.000	0.000	0.000	0.000	0.000	1.005		
Z1785	Mo	BFI	20	1800	Mo	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000		
Z1785	MoO2	BFI	20	1800	Mo	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000		
																										
Z1786	Majorite	BFI	20	1800	Fe	12	3.430	0.064	1.124	0.168	0.439	0.083	0.039	0.011	0.000	0.000	2.525	0.095	0.412	0.053	0.097	0.014	0.000	8.066	0.08	0.02
Z1786	Ringwoodite	BFI	20	1800	Fe	4	0.985	0.008	0.004	0.001	0.507	0.007	0.000	0.000	0.000	0.000	1.512	0.012	0.003	0.002	0.005	0.001	0.000	3.015		
Z1786	Wadsleyite	BFI	20	1800	Fe	4	1.001	0.025	0.010	0.006	0.293	0.021	0.000	0.000	0.000	0.000	1.678	0.037	0.009	0.010	0.007	0.001	0.000	2.998		
Z1786	Fe-metal	BFI	20	1800	Fe	1	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000		
																										
Z1782	Majorite	BFI	17	1600	Mo	12	3.290	0.072	1.467	0.152	0.601	0.016	0.068	0.024	0.000	0.000	2.175	0.053	0.360	0.038	0.069	0.007	0.000	8.029	0.1	0.04
Z1782	Olivine	BFI	17	1600	Mo	4	1.002	0.005	0.002	0.002	0.722	0.005	0.000	0.000	0.000	0.000	1.267	0.008	0.001	0.001	0.004	0.001	0.000	2.999		
Z1782	Ringwoodite	BFI	17	1600	Mo	4	1.002	0.005	0.004	0.001	0.531	0.006	0.000	0.000	0.000	0.000	1.454	0.008	0.001	0.001	0.009	0.001	0.000	3.001		
Z1782	High-Clinoenstatite	BFI	17	1600	Mo	6	2.001	0.031	0.012	0.008	0.230	0.020	0.000	0.000	0.000	0.000	1.720	0.031	0.026	0.011	0.007	0.002	0.000	3.996		
Z1782	Mo	BFI	17	1600	Mo	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000		
Z1782	MoO2	BFI	17	1600	Mo	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000		
																										
H4692	Majorite	BFI	14	1800	Mo	12	3.239	0.043	1.422	0.044	0.530	0.071	0.103	0.021	0.000	0.000	2.526	0.106	0.244	0.008	0.021	0.001	0.000	8.086	0.16	0.03
H4692	Orthopyroxene	BFI	14	1800	Mo	6	1.971	0.014	0.015	0.001	0.238	0.017	0.000	0.000	0.000	0.000	1.793	0.021	0.005	0.000	0.000	0.000	0.000	4.022		
H4692	Olivine	BFI	14	1800	Mo	4	0.974	0.018	0.003	0.002	0.300	0.015	0.000	0.000	0.000	0.000	1.744	0.034	0.003	0.001	0.000	0.000	0.000	3.024		
H4692	Clinopyroxene	BFI	14	1800	Mo	6	1.966	0.004	0.068	0.009	0.284	0.012	0.000	0.000	0.000	0.000	1.285	0.016	0.363	0.000	0.071	0.001	0.000	4.036		
H4692	Mo	BFI	14	1800	Mo	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000		
H4692	MoO2	BFI	14	1800	Mo	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000		
