# X(SiO2), DKS2013, SLB2011
0.000000000000000000e+00 -5.466755288596637547e+04 -5.466755288596637547e+04
5.000000000000000000e-01 -8.341391448593325913e+04 -5.727982329519238556e+04
1.000000000000000000e+00 -4.943154740625480190e+04 -4.943154740625480190e+04
