P, iron_wus_fO2, wus_fe4o5_fO2, wus_mt_fO2, fe4o5_mt_fO2, fe4o5_hem_fO2, mt_hem_fO2, fmq_fO2, fmc_fO2, rmc_fO2, rms_fO2, rfs_fO2, Re_fO2, Mo_fO2
9120062000.0 -8.55101724217 -4.50380114668 -4.11386299008 -3.4652146203 -2.51469444082 -2.03943435107 -2.79539625456 -3.5378951014 -2.27314004494 -2.29045827007 -1.89887282 -2.63746576797 -7.88396761702 
9360061000.0 -8.46470900361 -4.4688059961 -3.97181473887 -3.13151396908 -2.38592045132 -2.01312369244 -2.67166800384 -3.43081851022 -2.07849485638 -2.23204668621 -1.93222425859 -2.55131518678 -7.79251238541 
9600060000.0 -8.37856189877 -4.43055444871 -3.82978231069 -2.79847410358 -2.25715876354 -1.98650109352 -2.54879658459 -3.32377174378 -1.88456214701 -2.17370215482 -1.96544483857 -2.46533822746 -7.7012247244 
9840059000.0 -8.29257405734 -4.38940241382 -3.68776898781 -2.46608892689 -2.12840992219 -1.95957041984 -2.42676731014 -3.21675678994 -1.69133494691 -2.11542488389 -1.99853686955 -2.37953349319 -7.61010330495 
10080058000.0 -8.20674364667 -4.34564907049 -3.5457779269 -2.13435243976 -1.99967445941 -1.93233546923 -2.30556621914 -3.10977557411 -1.49880641535 -2.05721507283 -2.03150261719 -2.29389960738 -7.51914681748 
10320057000.0 -8.12106887096 -4.29954867921 -3.40381216468 -1.8032587385 -1.87095289508 -1.90479997337 -2.1851800189 -3.00282996136 -1.30696983732 -1.99907291279 -2.06434430422 -2.20843521321 -7.42835397147 
10560056000.0 -8.03554797025 -4.2513194154 -3.26187462315 -1.47280201282 -1.74224573715 -1.87696759931 -2.06559603482 -2.89592175844 -1.11581862011 -1.94099858681 -2.09706411147 -2.12313897324 -7.33772349504 
10800055000.0 -7.95017921965 -4.20115009321 -3.11996811459 -1.14297654378 -1.61355348188 -1.84884195093 -1.94680216501 -2.78905271572 -0.925346290144 -1.8829922701 -2.12966417887 -2.03800956901 -7.2472541346 
11040054000.0 -7.8649609284 -4.14920536395 -2.97809534631 -0.813776701822 -1.48487661417 -1.82042657034 -1.82878683942 -2.68222452909 -0.735546489766 -1.82505413025 -2.16214660639 -1.95304570065 -7.15694465442 
11280053000.0 -7.77989143911 -4.09562979131 -2.83625892514 -0.485196944812 -1.35621560782 -1.79172493932 -1.71153898292 -2.57543884172 -0.546412974253 -1.76718432743 -2.19451345497 -1.86824608652 -7.06679383634 
11520052000.0 -7.69496912689 -4.04055108624 -2.69446136168 -0.157231816144 -1.22757092577 -1.76274048058 -1.59504798196 -2.46869724578 -0.357939608878 -1.70938301461 -2.22676674744 -1.78360946282 -6.97680047933 
11760051000.0 -7.61019239862 -3.98408270363 -2.55270507435 0.170124057078 -1.09894302041 -1.73347655916 -1.47930365416 -2.36200128416 -0.170120366084 -1.65165033776 -2.25890846937 -1.69913458327 -6.8869633992 
12000050000.0 -7.52555969215 -3.92632594804 -2.41099239322 0.49687596584 -0.970332333809 -1.70393648363 -1.36429622069 -2.255352452 0.0170506772475 -1.59398643602 -2.29094056997 -1.61482021872 -6.79728142821 
12240049000.0 -7.44106947558 -3.86737169727 -2.26932556365 0.823029120945 -0.841739297935 -1.67412350738 -1.25001628102 -2.14875219827 0.203579342434 -1.53639144193 -2.32286496288 -1.53066515683 -6.70775341482 
12480048000.0 -7.3567202465 -3.807301825 -2.12770674981 1.14858865471 -0.713164334939 -1.64404082976 -1.13645478983 -2.04220192724 0.389471351548 -1.47886548158 -2.35468352701 -1.44666820176 -6.61837822326 
12720047000.0 -7.27251053131 -3.74619038431 -1.98613803789 1.4735596226 -0.58460785736 -1.61369159734 -1.02360303582 -1.93570299991 0.574732329886 -1.42140867481 -2.38639810728 -1.36282817382 -6.52915473333 
12960046000.0 -7.18843888451 -3.68410459927 -1.84462143931 1.79794700484 -0.456070268361 -1.58307890496 -0.911452622217 -1.82925673537 0.759367808359 -1.36402113535 -2.41801051542 -1.27914390918 -6.44008184 
13200045000.0 -7.10450388808 -3.62110570136 -1.70315889368 2.12175570799 -0.327551961945 -1.55220579691 -0.799995448839 -1.72286441213 0.943383225801 -1.30670297104 -2.44952253072 -1.19561425954 -6.35115845318 
13440044000.0 -7.02070415074 -3.55724963916 -1.56175227164 2.44499056641 -0.19905332317 -1.52107526796 -0.689223695529 -1.61652726941 1.12678393121 -1.24945428393 -2.48093590071 -1.11223809185 -6.26238349737 
13680043000.0 -6.93703830741 -3.49258768417 -1.4204033776 2.76765634381 -0.0705747283599 -1.48969026444 -0.579129806844 -1.51024650833 1.30957518591 -1.19227517049 -2.51225234192 -1.02901428803 -6.17375591145 
13920042000.0 -6.85350501852 -3.42716695054 -1.27911395227 3.08975773462 0.0578834546967 -1.45805368526 -0.469706477866 -1.40402329312 1.49176216566 -1.13516572171 -2.54347354049 -0.945941744667 -6.08527464835 
14160041000.0 -6.77010296944 -3.36103084326 -1.1378856752 3.41129936544 0.186320866547 -1.4261683829 -0.360946641048 -1.29785875229 1.67334996267 -1.07812602332 -2.5746011529 -0.86301937274 -5.99693867477 
14400040000.0 -6.68683086988 -3.29421944646 -0.996720167056 3.73228579639 0.314737155881 -1.39403716437 -0.252843453983 -1.19175397965 1.8543435876 -1.02115615585 -2.6056368066 -0.780246097365 -5.90874697099 
14640039000.0 -6.60368745333 -3.22676986125 -0.855618991922 4.05272152245 0.443131979349 -1.3616627922 -0.145390288024 -1.08571003546 2.03474797142 -0.964256194858 -2.63658210063 -0.697620857524 -5.82069853055 
14880038000.0 -6.52067147649 -3.15871650091 -0.714583659419 4.37261097473 0.571505001374 -1.3290479853 -0.0385807176778 -0.979727947383 2.21456796732 -0.907426210979 -2.66743860622 -0.615142605809 -5.73279236 
15120037000.0 -6.43778171875 -3.09009134975 -0.573615626757 4.69195852178 0.699855893978 -1.29619541992 0.0675914892924 -0.873808711527 2.39380835245 -0.85066627012 -2.69820786742 -0.532810308174 -5.64502747871 
15360036000.0 -6.35501698161 -3.02092419104 -0.432716300697 5.01076847077 0.828184336609 -1.26310773047 0.173132381116 -0.767953293364 2.57247382969 -0.793976433562 -2.72889140167 -0.450622943688 -5.55740291858 
15600035000.0 -6.27237608824 -2.95124280831 -0.291887039417 5.32904506875 0.956490015973 -1.22978751041 0.278047830669 -0.662162628662 2.75056902935 -0.737356758089 -2.75949070037 -0.368579504299 -5.46991772384 
15840034000.0 -6.18985788292 -2.88107316379 -0.151129154308 5.64679250376 1.08477262587 -1.19623731308 0.382343543588 -0.556437624377 2.92809851076 -0.680807296109 -2.7900072294 -0.286678994603 -5.38257095081 
16080033000.0 -6.10746123056 -2.81043955694 -0.0104439116838 5.96401490604 1.21303186703 -1.16245965248 0.486025065863 -0.450779159508 3.10506676391 -0.624328095771 -2.82044242971 -0.204920431613 -5.29536166767 
16320032000.0 -6.02518501625 -2.73936476591 0.130167465579 6.28071634907 1.34126744697 -1.12845700409 0.589097790989 -0.345188085924 3.28147821097 -0.567919201082 -2.8507977178 -0.12330284454 -5.20828895428 
16560031000.0 -5.94302814479 -2.66787017394 0.270703796471 6.59690085074 1.46947907982 -1.09423180563 0.691566966669 -0.239665229173 3.45733720777 -0.511580652012 -2.88107448626 -0.0418252745728 -5.12135190192 
16800030000.0 -5.8609895402 -2.59597588272 0.411163940346 6.91257237432 1.59766648622 -1.05978645783 0.793437701134 -0.134211389247 3.6326480453 -0.455312484612 -2.91127410426 0.039513225328 -5.03454961313 
17040029000.0 -5.77906814533 -2.52370081419 0.55154679548 7.22773482959 1.72582939312 -1.02512332512 0.89471496909 -0.0288273413344 3.80741495108 -0.399114731107 -2.941397918 0.120713590642 -4.9478812015 
17280028000.0 -5.69726292141 -2.4510628024 0.691851297692 7.54239207377 1.85396753367 -0.990244736386 0.995403617324 0.0764861634543 3.98164209056 -0.342987420007 -2.97144725127 0.201776745488 -4.86134579143 
17520027000.0 -5.61557284762 -2.37807867629 0.83207641902 7.85654791255 1.98208064708 -0.955152985657 1.09550836999 0.181728397392 4.15533356843 -0.286930576204 -3.00142340579 0.282703602824 -4.77494251801 
17760026000.0 -5.53399692072 -2.30476433471 0.972221166447 8.17020610106 2.1101684785 -0.919850332776 1.19503383364 0.286898655456 4.32849342993 -0.230944221065 -3.03132766177 0.363495064639 -4.68867052677 
18000025000.0 -5.4525341546 -2.23113481447 1.11228458069 8.48337034475 2.23823077887 -0.884339004071 1.29398450187 0.391996254676 4.50112566212 -0.175028372533 -3.0611612783 0.444152022139 -4.60252897355 
18240024000.0 -5.37118357995 -2.15720435207 1.25226573502 8.7960443004 2.36626730479 -0.848621193007 1.39236475991 0.4970205335 4.67323419509 -0.11918304521 -3.09092549375 0.524675355938 -4.51651702427 
18480023000.0 -5.28994424384 -2.08298644006 1.39216373416 9.10823157691 2.49427781843 -0.812699060812 1.49017888873 0.60197085118 4.84482290313 -0.0634082504526 -3.12062152624 0.605065936231 -4.4306338548 
18720022000.0 -5.20881520937 -2.0084938783 1.53197771319 9.41993573628 2.62226208736 -0.7765747371 1.58743106915 0.706846587185 5.01589560596 -0.00770399645358 -3.15025057403 0.685324622978 -4.34487865077 
18960021000.0 -5.12779555532 -1.93373882092 1.6717068365 9.73116029438 2.75021988448 -0.740250320472 1.68412538558 0.811647140626 5.18645606976 0.0479297116698 -3.1798138159 0.765452266067 -4.25925060737 
19200020000.0 -5.04688437579 -1.85873281927 1.81135029684 10.0419087218 2.87815098788 -0.703727879106 1.78026582967 0.916371929697 5.35650800835 0.103492871798 -3.20931241155 0.845449705493 -4.17374892927 
19440019000.0 -4.96608077987 -1.78348686124 1.95090731432 10.3521844448 3.00605518072 -0.66700945133 1.87585630372 1.02102039114 5.52605508421 0.158985484725 -3.23874750197 0.925317771516 -4.08837283039 
19680018000.0 -4.8853838913 -1.70801140751 2.0903771355 10.6619908458 3.13393225116 -0.630097046187 1.97090062394 1.12559197974 5.69510090953 0.214407554085 -3.26812020983 1.00505728483 -4.00312153374 
19920017000.0 -4.80479284814 -1.63231642475 2.22975903253 10.9713312646 3.2617819922 -0.592992643981 2.06540252355 1.23008616778 5.86364904723 0.269759086278 -3.29743163982 1.0846690567 -3.91799427134 
20160016000.0 -4.72430680247 -1.55641141629 2.36905230228 11.2802089985 3.38960420164 -0.555698196815 2.15936565573 1.33450244461 6.03170301193 0.325040090388 -3.326682879 1.16415388915 -3.83299028398 
20400015000.0 -4.6439249201 -1.48030545039 2.50825626553 11.5886273039 3.5173986819 -0.518215629112 2.25279359642 1.43884031612 6.19926627091 0.380250578122 -3.35587499715 1.24351257508 -3.74810882115 
20640014000.0 -4.56364638023 -1.40400718635 2.64737026617 11.8965893963 3.64516524001 -0.48054683813 2.34568984703 1.54309930432 6.36634224507 0.435390563734 -3.38500904712 1.32274589846 -3.66334914084 
20880013000.0 -4.48347037518 -1.32752489867 2.78639367046 12.2040984512 3.77290368742 -0.44269369446 2.43805783694 1.64727894688 6.5329343098 0.490460063958 -3.41408606512 1.40185463441 -3.57871050943 
21120012000.0 -4.4033961101 -1.25086649943 2.9253258663 12.511157605 3.90061384 -0.404658042512 2.52990092597 1.75137879671 6.69904579589 0.545459097946 -3.44310707108 1.4808395494 -3.49419220157 
21360011000.0 -4.32342280273 -1.17403955902 3.0641662625 12.8177699556 4.02829551787 -0.366441700998 2.62122240669 1.85539842152 6.86467999039 0.600387687199 -3.47207306894 1.55970140136 -3.40979349999 
21600010000.0 -4.24354968305 -1.09705132542 3.20291428816 13.1239385629 4.15594854536 -0.328046463395 2.71202550664 1.95933740343 7.02984013744 0.655245855504 -3.50098504695 1.63844093983 -3.32551369542 
21840009000.0 -4.1637759931 -1.0199087421 3.34156939196 13.4296664495 4.28357275089 -0.289474098401 2.80231339045 2.06319533861 7.19452943913 0.710033628879 -3.52984397799 1.71705890606 -3.24135208645 
22080008000.0 -4.08410098669 -0.942618464686 3.48013104157 13.7349566015 4.41116796692 -0.250726350385 2.89208916187 2.16697183684 7.35875105622 0.764751035508 -3.55865081983 1.79555603319 -3.15730797938 
22320007000.0 -4.00452392911 -0.865186876498 3.618598723 14.0398119691 4.53873402982 -0.211804939817 2.98135586572 2.27066652117 7.52250810902 0.819398105685 -3.58740651545 1.87393304636 -3.07338068814 
22560006000.0 -3.92504409697 -0.787620103005 3.7569719401 14.3442354669 4.66627077984 -0.172711563699 3.0701164897 2.37427902758 7.68580367807 0.873974871759 -3.6161119933 1.95219066281 -2.98956953412 
22800005000.0 -3.84566077789 -0.709924025362 3.8952502139 14.6482299749 4.79377806099 -0.133447895981 3.15837396623 2.4778090046 7.84864080491 0.928481368077 -3.64476816755 2.03032959204 -2.90587384609 
23040004000.0 -3.76637327028 -0.632104293033 4.03343308213 14.9517983389 4.92125572098 -0.0940155879693 3.24613117412 2.581256113 8.01102249284 0.98291763093 -3.67337593839 2.10835053589 -2.82229296008 
23280003000.0 -3.68718088316 -0.554166335613 4.17152009868 15.2549433709 5.04870361114 -0.0544162687233 3.33339094017 2.68462002546 8.17295170754 1.03728369851 -3.70193619228 2.1862541887 -2.73882621924 
23520002000.0 -3.60808293589 -0.476115373887 4.3095108331 15.5576678499 5.17612158635 -0.0146515454484 3.42015604082 2.78790042623 8.33443137786 1.09157961083 -3.7304498022 2.26404123739 -2.65547297375 
23760001000.0 -3.52907875795 -0.397956430203 4.44740487009 15.8599745226 5.30350950495 0.0252769961234 3.50642920355 2.89109701083 8.49546439641 1.14580540973 -3.75891762789 2.3417123616 -2.57223258073 
24000000000.0 -3.45016768878 -0.319694338198 4.58520180905 16.1618661034 5.4308672287 0.065367791359 3.59221310839 2.99420948579 8.65605362026 1.19996113877 -3.7873405161 2.41926823378 -2.48910440408 
