>> -W1,black
8.0 0.847472139483 0.895287029562
8.05 0.845609532397 0.894574334067
8.1 0.843732458338 0.893860931692
8.15 0.841841032403 0.8931468812
8.2 0.839935374304 0.892432240953
8.25 0.838015608278 0.891717068866
8.3 0.836081863013 0.891001422377
8.35 0.834134271572 0.890285358417
8.4 0.83217297128 0.889568933366
8.45 0.830198103649 0.888852203028
8.5 0.828209814279 0.888135222598
8.55 0.826208252751 0.887418046631
8.6 0.824193572534 0.886700729016
8.65 0.822165930873 0.88598332295
8.7 0.820125488672 0.885265880897
8.75 0.818072410404 0.884548454589
8.8 0.81600686398 0.883831094984
8.85 0.81392902066 0.883113852262
8.9 0.811839054894 0.882396775773
8.95 0.809737144223 0.881679914039
9.0 0.807623469172 0.880963314738
9.05 0.805498213122 0.880247024687
9.1 0.80336156218 0.879531089818
9.15 0.801213705063 0.878815555172
9.2 0.799054832971 0.87810046488
9.25 0.796885139467 0.87738586216
9.3 0.794704820351 0.876671789298
9.35 0.792514073534 0.875958287648
9.4 0.79031309892 0.875245397619
9.45 0.788102098276 0.874533158669
9.5 0.785881275115 0.873821609304
9.55 0.783650834569 0.873110787071
9.6 0.781410983272 0.872400728556
9.65 0.779161929235 0.871691469382
9.7 0.776903881733 0.870983044211
9.75 0.774637051179 0.87027548674
9.8 0.772361649013 0.869568829708
9.85 0.770077887588 0.868863104895
9.9 0.76778598005 0.868158343125
9.95 0.765486140186 0.867454574262
10.0 0.763178582498 0.866751827257
10.05 0.760863521811 0.866050130088
10.1 0.758541173359 0.865349509813
10.15 0.756211752632 0.864649992563
10.2 0.753875475288 0.863951603561
10.25 0.751532557022 0.863254367103
10.3 0.749183213449 0.862558306592
10.35 0.746827660115 0.861863444556
10.4 0.7444661123 0.861169802633
10.45 0.742098784963 0.860477401597
10.5 0.739725892653 0.859786261365
10.55 0.737347649417 0.859096401009
10.6 0.734964268723 0.858407838771
10.65 0.732575963375 0.857720592071
10.7 0.730182945436 0.857034677527
10.75 0.72778542615 0.856350110958
10.8 0.72538361587 0.85566690741
10.85 0.722977723984 0.854985081158
10.9 0.720567958849 0.854304645727
10.95 0.718154527722 0.853625613906
11.0 0.715737636696 0.852947997757
11.05 0.71331749064 0.852271808635
11.1 0.710894293144 0.851597057201
11.15 0.708468248579 0.850923753848
11.2 0.706039551312 0.850251906633
11.25 0.703608407274 0.849581525482
11.3 0.70117501217 0.848912618007
11.35 0.698739562345 0.848245191604
11.4 0.696302252556 0.847579253073
11.45 0.693863275922 0.846914808619
11.5 0.691422823886 0.846251863867
11.55 0.688981086171 0.845590423881
11.6 0.686538250747 0.844930493174
11.65 0.684094503792 0.844272075724
11.7 0.681650029663 0.843615174988
11.75 0.67920501086 0.842959793916
11.8 0.676759628 0.842305934964
11.85 0.674314059786 0.841653600108
11.9 0.671868482986 0.841002790858
11.95 0.669423072403 0.840353508271
12.0 0.666978000859 0.839705752963
12.05 0.664533439167 0.839059525126
12.1 0.662089556119 0.838414824535
12.15 0.659646518464 0.837771650566
12.2 0.657204490893 0.837130002202
12.25 0.654763636163 0.836489878134
12.3 0.652324114491 0.83585127642
12.35 0.649886084504 0.835214195061
12.4 0.647449702528 0.834578631603
12.45 0.645015122779 0.833944583265
12.5 0.642582497345 0.833312046946
12.55 0.640151976187 0.832681019235
12.6 0.637723707132 0.832051496425
12.65 0.635297835865 0.831423474522
12.7 0.632874505931 0.830796949256
12.75 0.630453858731 0.830171916088
12.8 0.628036033524 0.829548370223
12.85 0.62562116742 0.828926306618
12.9 0.62320939539 0.828305719992
12.95 0.620800850263 0.827686604836
13.0 0.618395662731 0.827068955419

