% Run P(GPa) T (K) t (min) O wt% err O mol% err XFeO  err 
E1    18     2900  3       3.4   0.8 10.9   2.3 0.196 0.011 
E2-1  33     2900  3       2.3   0.7 7.6    2.2 0.222 0.022 
E2-2  33     2900  3       1.9   0.3 6.4    1.1 0.227 0.018 
E3    38     2860  10      2.4   1.0 8.0    3.1 0.280 0.049 
E4    74     3000  3       2.0   0.7 6.6    2.1 0.210 0.011 
E5    94     3120  3       2.1   0.6 6.9    1.8 0.196 0.010 
E6    134    3200  1       6.4   1.3 19.1   3.3 0.202 0.009 
E7a   124    3150  1       4.9   1.6 15.2   4.3 0.277 0.012
% Temperature error was 10%
