# T  HT - H298.15 ST - S298.15
400  2120   3.48
500  2440   6.23
600  3700   8.53
700  4980  10.50
800  6280  12.23
900  7590  13.78
1000 8920  15.18
1100 10280 16.47
1200 11670 17.68
1300 13080 18.81
1400 14520 19.88
1500 15980 20.88
1600 17460 21.84
1650 18210 22.30
1650 25700 26.84
1700 26510 27.32
1800 28140 28.26
# Fe0.947O
